,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.016893977,0.0023903388,0.0034948906,0.0043811696,0.0025230295,0.010564002,0.03821522,0.025028892,0.0076038684,0.06840922,0.08646153,0.00293919,0.010515358,0.0043816916,0.024212206,0.01683611,0.059489787,0.017957758,0.010261897,0.06403369,0.005728071,0.01693278,0.006483056,0.04911512,0.04396568,0.009760864,0.0049760304,0.009381389,0.012789538,0.0019696925,0.004457672,0.025901133,0.005893002,0.0057902075,0.0015172493,0.048148233,0.0061650523,0.02764478,0.007782944,0.046436552,0.001665089,0.009908682,0.002680319,0.0054066256,0.026783533,0.009683536,0.122399166,0.00744065,0.034172203,0.007158388,0.002706341,0.012153272,0.042419273,0.008966943,0.006595799,0.00995232,0.065498225,0.04422079,0.0014356211,0.001925326
0,0.021439686,0.004375063,0.072832495,0.01433286,0.119972,0.15207013,0.0061183604,0.020096626,0.012605741,0.008872009,0.02089114,0.2225367,0.014230349,0.030939875,0.006695993,0.027868113,0.012597623,0.012489699,0.033711124,0.22564314,0.012277774,0.05231693,0.06894739,0.013610525,0.15106142,0.06862684,0.058167294,0.02228002,0.04339836,0.008536869,0.03810093,0.048160516,0.0058564865,0.014558437,0.014153073,0.09199763,0.015211812,0.0561218,0.0058724433,0.094830856,0.010098102,0.013839464,0.0062591447,0.034040913,0.011345218,0.0060922215,0.012934547,0.3744604,0.03567389,0.013331187,0.004374758,0.01573271,0.013636041,0.045229584,0.013880269,0.0070276833,0.0049003665,0.0059273676,0.094781406,0.03382366
0,0.0011084456,0.020956589,0.0023309363,0.052884217,0.0035568532,0.0046523577,0.012710064,0.061250303,0.07844127,0.010681511,0.004448487,0.009211937,0.0067646704,0.0063466663,0.018289415,0.07214745,0.0052239476,0.015036273,0.012495823,0.009965276,0.018835777,0.011802817,0.072465226,0.010894884,0.0060563567,0.009266118,0.05105102,0.0015437389,0.039924953,0.01105594,0.011221914,0.0068251863,0.0050528185,0.030052742,0.0023706283,0.0021727122,0.0021397034,0.0029020263,0.05213109,0.006066155,0.015639216,0.0014675194,0.07980235,0.0024860355,0.008868403,0.02084909,0.0060622636,0.010928604,0.15528733,0.007860978,0.0014151562,0.0049982467,0.030784909,0.046471443,0.0032680891,0.0077931653,0.004498245,0.022446752,0.028364325,0.00815405
0,0.027546942,0.0174162,0.0038058246,0.005431016,0.06291782,0.0076823826,0.029805688,0.07925811,0.11958284,0.020288458,0.009625653,0.01822263,0.009506044,0.07019949,0.011438708,0.008355201,0.0080766585,0.010004754,0.025866883,0.023627052,0.06519443,0.025386132,0.005697921,0.020263141,0.007814679,0.08830581,0.016226223,0.010214573,0.006364608,0.008313777,0.010120131,0.023679648,0.016397418,0.06486025,0.0046350346,0.033873517,0.034081146,0.028160574,0.0048363633,0.08768312,0.009708509,0.0064699077,0.004635404,0.026417809,0.013505321,0.0070847427,0.018617105,0.18215467,0.006834825,0.005245727,0.013755504,0.009859622,0.024942268,0.037372738,0.011133279,0.0041762525,0.00594139,0.02491286,0.017579708,0.05183976
0,0.00994382,0.0023763992,0.0129005965,0.0053231157,0.0037903518,0.0013028056,0.005776452,0.006526582,0.039664213,0.0032815011,0.0056739287,0.006804279,0.029659899,0.03794013,0.004620656,0.0042326124,0.006091121,0.0016419181,0.019851193,0.032709036,0.015022183,0.0059720674,0.0024393166,0.00315806,0.014165864,0.026930531,0.019408537,0.0046593337,0.0038390886,0.04003783,0.05712802,0.018236315,0.0075432635,0.004605959,0.0020071284,0.0039492296,0.02554444,0.003208567,0.003149699,0.025390964,0.0033094657,0.014691074,0.0016375203,0.049496327,0.0012954978,0.0076794233,0.00093087956,0.012236963,0.0057041273,0.11997681,0.0055137277,0.0027324099,0.00294173,0.0030089342,0.013530513,0.020350944,0.013353935,0.024950838,0.0060559376,0.0019515118
0,0.010982943,0.006407621,0.0067257476,0.024730977,0.0020452372,0.010934249,0.010583714,0.011816946,0.006089612,0.002450798,0.0037438497,0.012116665,0.013410148,0.018563272,0.003751992,0.012752721,0.0058193114,0.0069053676,0.0038826503,0.0050110333,0.0070435666,0.046235364,0.005288844,0.0069036284,0.005968621,0.0032079953,0.009261907,0.0063357363,0.014935828,0.010558158,0.0036044181,0.005429528,0.008092313,0.0023439664,0.014582756,0.03895058,0.0018722329,0.0055113067,0.009346225,0.007793022,0.0051018484,0.060384832,0.0037313462,0.0044610277,0.005072826,0.00836707,0.002402636,0.007061304,0.014846426,0.0065049906,0.018105278,0.0055785677,0.0049001947,0.005435667,0.004586425,0.027376749,0.022840545,0.0045331675,0.0131377615,0.0030746227
0,0.0026007353,0.0044046254,0.008885869,0.0026398932,0.0024559796,0.0111366855,0.0036465866,0.009050708,0.010371239,0.002280697,0.0020848846,0.0027631891,0.0040874137,0.0034287926,0.05098891,0.0038704167,0.009616071,0.0067905844,0.0072836005,0.0026385428,0.008392445,0.0021445977,0.0030325137,0.048033103,0.0030284238,0.016292058,0.010142933,0.0031240853,0.0038533479,0.0033361681,0.016593995,0.025030313,0.005263231,0.0049051614,0.0057510724,0.0066766874,0.026858274,0.003975363,0.004811052,0.015737915,0.009892373,0.0013277972,0.006535886,0.0023788356,0.0023727766,0.0047163367,0.06413371,0.002620046,0.013874793,0.0018503625,0.0016912436,0.0064554997,0.009205986,0.002907054,0.0019024641,0.0039256304,0.0016809057,0.012873627,0.0012704263,0.0025236714
0,0.01272886,0.0117185945,0.037540555,0.0039830585,0.004727088,0.042964965,0.052153893,0.002483994,0.003027065,0.0024539512,0.0032176632,0.0013999229,0.01370037,0.0065850443,0.04204295,0.011561043,0.006907857,0.016265135,0.0036439798,0.0025452045,0.0061403094,0.0020719613,0.029990034,0.0017844388,0.0042174743,0.05075831,0.022167312,0.010044534,0.0042871656,0.007739865,0.0014325093,0.026354905,0.015376225,0.0026242665,0.034046978,0.009016542,0.00644463,0.020339563,0.0031760084,0.033455756,0.006352443,0.014822399,0.0016595506,0.0040909285,0.007044314,0.05269319,0.0074998825,0.0059702364,0.003548597,0.0022149214,0.011443416,0.031290013,0.004173065,0.00296697,0.0012673283,0.0012574663,0.0025452708,0.006528113,0.047993865,0.006075354
0,0.0158483,0.0063809673,0.011218862,0.0022630587,0.0071124886,0.009773197,0.028850378,0.0092116585,0.0029104631,0.016890634,0.06813675,0.083488606,0.011578159,0.013286353,0.0029871403,0.023050064,0.03391968,0.050229467,0.016828205,0.004867341,0.003588728,0.0118946005,0.034981627,0.031435974,0.011080167,0.0016579642,0.012911142,0.062908486,0.016128127,0.00654622,0.010366523,0.004404955,0.006770729,0.0076455157,0.015412688,0.0026546258,0.05027819,0.0025812208,0.006622858,0.021107081,0.012112915,0.0034483415,0.021292454,0.0053880443,0.06925583,0.0019136646,0.0038234266,0.0100313695,0.027990397,0.0048744436,0.215452,0.003358453,0.009670655,0.006130615,0.018697394,0.031843908,0.00467448,0.0036571522,0.0023265989,0.01804182
0,0.0019509695,0.010666814,0.001599712,0.00671774,0.0014812879,0.0025281347,0.024491372,0.0061908807,0.0094605815,0.03697988,0.04364094,0.0047960384,0.003309521,0.0061832983,0.007984606,0.011648042,0.04708222,0.01318058,0.0053464016,0.0076477015,0.057486378,0.010851831,0.01408402,0.004357267,0.011438223,0.023504943,0.030234518,0.010606276,0.003442804,0.004479838,0.0074807866,0.015555962,0.0030739359,0.0031543272,0.031469896,0.0033539217,0.010658795,0.0028224543,0.09123121,0.005912621,0.0033221738,0.0052706255,0.016517965,0.050751448,0.0029507827,0.006119741,0.0033396042,0.16201593,0.0019970643,0.0019370854,0.006768741,0.0013807643,0.028191028,0.029593227,0.031706028,0.0037799177,0.0049680853,0.033015743,0.022917673,0.020659216
