,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.010370784,0.009157232,0.005304737,0.0050693476,0.003994871,0.0046162107,0.0067779385,0.010342131,0.008565151,0.016982086,0.025525695,0.0044958014,0.022328097,0.009232795,0.010004995,0.0075441445,0.007497051,0.0075462554,0.01868556,0.0091074295
0,0.0045084823,0.017450308,0.0038743196,0.01032959,0.0067079663,0.002391003,0.007255136,0.010666481,0.022530045,0.029339027,0.002691055,0.0021733213,0.0036600549,0.084128045,0.0068438104,0.006929829,0.0012335078,0.016146047,0.0023385845,0.010447803
0,0.0021883089,0.0018126733,0.00246861,0.0019818123,0.0034573611,0.009853192,0.001414812,0.0011589933,0.040199786,0.0021808841,0.004427354,0.00782465,0.011293557,0.02663374,0.0023315626,0.030984383,0.001941728,0.0010901255,0.002487496,0.018206647
0,0.0073541724,0.012640848,0.009878992,0.006531256,0.00794432,0.008496962,0.012942773,0.0059073768,0.009208644,0.011417704,0.012982912,0.007202242,0.01050334,0.0104476,0.0142338015,0.007204991,0.0038740714,0.012355341,0.013299831,0.004990055
0,0.004894824,0.0035840964,0.003217792,0.003623214,0.0024151213,0.007060341,0.005162027,0.002804161,0.0039126785,0.0034184533,0.007883775,0.0068235057,0.0088383155,0.0135834785,0.018993126,0.0048678657,0.0042023435,0.0022405004,0.019498635,0.0027769937
0,0.0053918837,0.003273911,0.0026299586,0.0025287385,0.0025406627,0.0015200641,0.0044399053,0.0047975793,0.006399405,0.004716088,0.019488769,0.0027887207,0.0033626854,0.088218145,0.0050148168,0.0012829888,0.013673899,0.042491917,0.05720583,0.007882812
0,0.004262604,0.005168263,0.0057552536,0.0032699225,0.004081868,0.003729521,0.005093783,0.0048579546,0.005993048,0.006264266,0.0040984186,0.0065245605,0.004553046,0.0061738794,0.0026308734,0.005080924,0.0065653217,0.004052927,0.0060751555,0.0042438735
0,0.005876005,0.004797375,0.004843416,0.007209867,0.004223502,0.008469055,0.004482785,0.004259826,0.006540188,0.008828896,0.026432604,0.104488276,0.010378417,0.0040584025,0.005223955,0.0026768374,0.0032631892,0.0019405114,0.034293205,0.0062148604
0,0.005156738,0.002475883,0.0031016113,0.005272108,0.0056081614,0.010775724,0.00347893,0.0051670303,0.0022158942,0.0042690206,0.006531246,0.0029311518,0.022383649,0.005174585,0.003829401,0.0034204358,0.004690701,0.0058293315,0.0033533976,0.012608594
0,0.0066034463,0.0057612294,0.0065423637,0.013219364,0.0047824155,0.014370119,0.028409371,0.0074203084,0.020260908,0.025851646,0.03935381,0.17025393,0.010815367,0.011130187,0.0073242583,0.0055298363,0.0039089224,0.0032057469,0.026280424,0.044490818
0,0.011276319,0.003976925,0.007841575,0.005997535,0.004805231,0.016938854,0.004010701,0.006441227,0.015081819,0.016174985,0.033372715,0.008817513,0.116830245,0.0050335815,0.14588276,0.007294013,0.0066052326,0.00367383,0.009705607,0.028082531
0,0.019951103,0.024908818,0.024799611,0.020978428,0.023217428,0.024624808,0.022739735,0.018956073,0.023530426,0.025944924,0.026783392,0.02409876,0.027863486,0.02148592,0.018617785,0.01372059,0.011965274,0.01897725,0.02873327,0.015018437
0,0.024880586,0.021920186,0.026179384,0.026692584,0.023961455,0.029535249,0.024259405,0.026293807,0.028972773,0.028724635,0.027401244,0.016005894,0.027035413,0.028616544,0.023428354,0.028549805,0.027803134,0.022496687,0.027163988,0.02917763
0,0.00435189,0.002557661,0.0016145125,0.0047226055,0.0037847147,0.0021284735,0.0037539138,0.004235781,0.004548272,0.0040282034,0.005644199,0.014631913,0.048952624,0.005738841,0.0027392467,0.002719817,0.0033348205,0.012421358,0.02806216,0.0024255775
0,0.006668843,0.006000316,0.017625818,0.009534357,0.004037006,0.0036658046,0.015771382,0.0038201716,0.00213515,0.0063261455,0.006778172,0.04429655,0.0053814277,0.0020065813,0.00620228,0.0057127965,0.021562083,0.0049032415,0.015418592,0.0048694178
0,0.005040323,0.0027299046,0.0065330444,0.006006453,0.003987662,0.0029958396,0.0038873854,0.0032053525,0.0045462693,0.008151756,0.005934959,0.008752654,0.011035354,0.0868396,0.00471048,0.025780296,0.0058613834,0.0078166025,0.0053016455,0.012441466
0,0.00447757,0.007284217,0.0018473468,0.0037678867,0.0029733344,0.006900935,0.008736774,0.0019414222,0.0017885956,0.013220116,0.0031678695,0.007679565,0.008953563,0.014590131,0.0029758234,0.10445096,0.0052498295,0.0037592906,0.0020536361,0.034696613
0,0.011136177,0.012485518,0.0125620905,0.013108033,0.009749709,0.012159788,0.014153664,0.014312947,0.00876841,0.01286706,0.004967043,0.0069998736,0.014245795,0.011558792,0.015125081,0.008459238,0.007052139,0.01175002,0.0057613114,0.013972025
0,0.0025944812,0.023649124,0.0026541005,0.0021306318,0.001870992,0.0030445058,0.022558369,0.0028741949,0.0032123274,0.005348925,0.008992395,0.0072561153,0.015070724,0.0028398968,0.0020357643,0.0025675236,0.012007905,0.0054274523,0.0033122934,0.002168573
0,0.0033892225,0.002066462,0.0040782057,0.0037547823,0.0031598362,0.008159157,0.0025125232,0.002106506,0.0016336738,0.0032719483,0.002708289,0.0030658878,0.0030138919,0.009803932,0.0055845575,0.02543111,0.0056087435,0.0016499731,0.014867253,0.011061785
