,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.006845298,0.0028470787,0.009231015,0.0072448635,0.003368978,0.0041652336,0.0034175501,0.0019396676,0.0071625314,0.0059429114,0.016371237,0.0025186243,0.006094705,0.0016405664,0.00543122,0.0054052896,0.021169748,0.0065756086,0.017507236,0.009187215,0.016531998,0.0030401424,0.005705534,0.0015235962,0.01774499,0.066747695,0.0035677736,0.009115652,0.0012557153,0.009207521,0.008876677,0.00092277565
0,0.02771511,0.032278344,0.026809046,0.026503991,0.02684232,0.031667147,0.030496527,0.026554666,0.018371418,0.03091994,0.02069074,0.022773031,0.027155036,0.029316282,0.02939922,0.028560478,0.022689175,0.030873073,0.028840018,0.030402496,0.017546566,0.030495109,0.016767785,0.018801795,0.02413474,0.011250378,0.029505981,0.0277454,0.026697144,0.027458891,0.028968723,0.020426108
0,0.0039496664,0.005100701,0.0060272655,0.0025579992,0.0018692726,0.0049792165,0.004987352,0.0071515627,0.00181089,0.0045369584,0.009994605,0.0045985384,0.0022135086,0.0048814523,0.006090908,0.019192416,0.0023500132,0.017881537,0.0032444908,0.004886034,0.071233936,0.005491055,0.008114796,0.0031742305,0.005680695,0.0016708743,0.003545617,0.0020060292,0.013993859,0.008301649,0.0066003,0.004222905
0,0.0064049563,0.01940608,0.011118034,0.015143098,0.0052593453,0.014047174,0.0051260777,0.011178837,0.013650453,0.005017704,0.0025778236,0.007310577,0.0039117364,0.011018735,0.0019048859,0.0077672037,0.0132229645,0.006789839,0.0506515,0.0057821404,0.016627839,0.0050547267,0.0037108192,0.07654626,0.0068847523,0.0013759597,0.012138145,0.12791024,0.0023639693,0.00540326,0.033549525,0.022765875
0,0.0025496327,0.0023776805,0.030982157,0.0062091905,0.0038939605,0.004180572,0.003963661,0.013232064,0.0029860754,0.0021488357,0.00837054,0.0019223549,0.006526214,0.0029649835,0.011339668,0.005126131,0.062833264,0.005648509,0.023375021,0.111127906,0.004565407,0.0013812635,0.0021695194,0.20412253,0.019409956,0.0074434006,0.0021279783,0.008182781,0.013238596,0.009609094,0.030209228,0.040556923
0,0.012041594,0.0120848175,0.012243461,0.012232273,0.012159284,0.012143898,0.012120251,0.012240965,0.012178009,0.012118354,0.012306499,0.012206108,0.012289865,0.012002289,0.01226102,0.012024266,0.012099463,0.01216311,0.012280966,0.012199907,0.01219357,0.012221584,0.01205566,0.012253632,0.012321944,0.011985863,0.011916005,0.012149454,0.01209018,0.012180688,0.012275946,0.0121771665
0,0.017229306,0.0060899896,0.003886734,0.008662139,0.01686233,0.006535849,0.0019926832,0.0021505132,0.003956672,0.0112579595,0.0027909665,0.004091822,0.0049952758,0.009156704,0.013309445,0.006623947,0.010678453,0.0061833714,0.003114037,0.04129589,0.0030557897,0.012384467,0.004848245,0.0043017217,0.05889445,0.004959851,0.0023229336,0.0034890831,0.0033048496,0.010930991,0.008148953,0.017745106
0,0.0017146979,0.0035499155,0.010625202,0.020404832,0.009217914,0.0032647592,0.0028140375,0.004436877,0.008971983,0.0055357604,0.00079774373,0.002353112,0.009948773,0.0017293574,0.002685292,0.0048848144,0.002083284,0.0067448136,0.025497971,0.04312229,0.0076179616,0.00086343626,0.0041882577,0.10101295,0.00442064,0.0013257671,0.009965893,0.009942749,0.001891322,0.016632471,0.028723435,0.010344264
0,0.0018051896,0.0028252995,0.015410749,0.0098217605,0.005256056,0.006249404,0.0027247248,0.016779447,0.0056637763,0.005878939,0.014508017,0.0017682145,0.0014140476,0.0016949016,0.0062610134,0.014733713,0.002275051,0.010506616,0.016873177,0.01835956,0.026845602,0.01513291,0.012375098,0.002634147,0.0725053,0.0021491477,0.007971639,0.003657618,0.001731139,0.012764108,0.013705531,0.013691043
0,0.003949141,0.0011000617,0.019220732,0.004910042,0.0034770092,0.005491792,0.002831696,0.025126986,0.0018144826,0.005181182,0.01101955,0.0035741313,0.007303995,0.024430884,0.001374989,0.0065071825,0.0070079947,0.02523621,0.00679524,0.0017309453,0.0448919,0.005296795,0.0046474296,0.118144855,0.0016803026,0.009272861,0.0016168302,0.0059527336,0.014077254,0.031484656,0.018835306,0.0017455318
0,0.014492944,0.008073936,0.005058524,0.004124965,0.0020208268,0.009875122,0.0029199882,0.0020805518,0.0054429187,0.008635772,0.0045821215,0.0030332867,0.010822384,0.0018278795,0.0060396222,0.0034470048,0.005522894,0.024503026,0.009292116,0.0043555466,0.0040577087,0.03250692,0.0022073258,0.008188552,0.044071816,0.0021171062,0.0055371677,0.008741809,0.0022595807,0.014227875,0.011459551,0.0017877427
0,0.012930541,0.028092854,0.012195276,0.011606959,0.009616738,0.034044553,0.007108063,0.0037511738,0.0026592694,0.0048479764,0.030782187,0.0032148152,0.005215507,0.014118331,0.037241686,0.019516014,0.024982167,0.0015121901,0.02316953,0.025334012,0.0010284445,0.030316126,0.023114892,0.002194148,0.013000553,0.024928395,0.0023212535,0.01751882,0.016333828,0.002720826,0.025273,0.005069008
0,0.0026492656,0.016159315,0.011333869,0.0052580233,0.0022663947,0.006631752,0.002989325,0.01477234,0.004548661,0.0034272156,0.0034565309,0.008947779,0.0017516313,0.0015707876,0.013881502,0.0015153801,0.0066994317,0.0031802198,0.012957908,0.047933217,0.009033921,0.013120635,0.06488573,0.0038287607,0.0074786833,0.15084314,0.0022765582,0.0027848883,0.025478732,0.01611713,0.0031830524,0.0017715261
0,0.0019953896,0.0070738588,0.041673023,0.010764437,0.02377264,0.019579232,0.026897842,0.01827722,0.009818691,0.04785923,0.0064707478,0.015966155,0.0077886465,0.028800633,0.04211322,0.007609851,0.016755298,0.03039331,0.020697396,0.01769383,0.034152623,0.026830725,0.013147743,0.017321056,0.00120442,0.0038052115,0.03890121,0.008454728,0.022771036,0.019300615,0.021536885,0.0044953083
0,0.018186249,0.020326829,0.021938477,0.019057374,0.019350976,0.015511773,0.018834332,0.017693799,0.01987692,0.021837248,0.016314771,0.022411887,0.021406673,0.022975838,0.014796532,0.01954732,0.012616374,0.021929603,0.020563196,0.013765373,0.020808486,0.020624325,0.018839628,0.021273576,0.02190758,0.012084185,0.014521065,0.014248468,0.01895519,0.020525383,0.020495087,0.013963987
