,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,0.012066614,0.0074791363,0.0073843338,0.006156338,0.0039321505,0.004607026,0.0045123235,0.0038881423,0.008017085,0.006305073,0.008960035,0.024136875,0.056654397,0.006112961,0.012166249,0.0047415756,0.018606048,0.003066994,0.0036769505,0.044894695,0.006246256,0.02659475,0.019678153,0.0049062693,0.07387043,0.008534108,0.006238152,0.0054218364,0.030142657,0.004711285,0.0045473636,0.013787614,0.008006796,0.00446514,0.002529115,0.0035158829,0.049118828,0.004407832,0.0041425773,0.0023456495,0.0073900404,0.012380619,0.016360352,0.004405058,0.011537776,0.022593144,0.014363482,0.0057623936,0.0062798187,0.022302227,0.0029400566,0.012085324,0.00076371833,0.0052978373
0,0.0029660873,0.0067437594,0.0030044857,0.0028799085,0.004642899,0.0011451974,0.0007221956,0.0057580485,0.0055119134,0.0020199663,0.0071840887,0.0045715393,0.005205095,0.0037731738,0.011284056,0.009569666,0.0029292111,0.0030667083,0.0026388555,0.004109016,0.007407956,0.0029539329,0.001664394,0.0063113947,0.0036623962,0.0033370908,0.0023459564,0.0031788128,0.014259436,0.0033524493,0.0032400524,0.021823237,0.0010674639,0.0043626656,0.0034869353,0.0034039824,0.009290668,0.0030586252,0.0027335472,0.036967114,0.0027010054,0.005063913,0.005387837,0.009513265,0.0114047825,0.009284394,0.01754115,0.010395499,0.0032321513,0.0038534282,0.015730567,0.02631859,0.000595507,0.0035148272
0,0.0027859835,0.003173446,0.0026192826,0.020762712,0.017488219,0.008480022,0.008972347,0.0043255095,0.0022539697,0.008400003,0.018742532,0.004231059,0.0035632504,0.0029809603,0.004720356,0.0070254705,0.011139775,0.0031959934,0.0041366857,0.004079536,0.0057429583,0.01021397,0.0036146082,0.005772116,0.0121115,0.0035131357,0.003933008,0.016838463,0.003373034,0.0184475,0.004405784,0.0036021976,0.0033052124,0.0102422,0.0036403027,0.004255965,0.0033131405,0.0045483476,0.031558983,0.0029017597,0.007819073,0.0030416804,0.0032719732,0.0051300307,0.0055659832,0.009044069,0.010620246,0.009262849,0.0070596826,0.0037278594,0.004450082,0.012504676,0.0015922618,0.0041528763
0,0.0038986467,0.017051086,0.0044415067,0.0065941024,0.0053935614,0.0035504338,0.00996554,0.006770078,0.0029534188,0.004145049,0.0054186,0.002461433,0.0043101795,0.006295371,0.0056084516,0.0049734605,0.0035937764,0.003326068,0.0050318674,0.006332164,0.027150976,0.0034298745,0.022307137,0.0025735642,0.006609701,0.011153302,0.0044306996,0.0032154266,0.026246184,0.007295094,0.0034663111,0.0037671118,0.005119625,0.0037139761,0.010204797,0.0050700977,0.0022259387,0.04766963,0.008284826,0.010868043,0.005424679,0.0054575503,0.0045676464,0.0037633698,0.010245496,0.012282799,0.010941031,0.00934642,0.004352466,0.00408493,0.0042061866,0.01481724,0.009830543,0.012898252
0,0.00539251,0.0053142007,0.004108413,0.0070772264,0.0038647475,0.009644591,0.0067602443,0.008212252,0.007409285,0.003958589,0.0053453846,0.005129685,0.023880092,0.011568472,0.018617671,0.004974265,0.008462435,0.0052728932,0.0035209614,0.010107381,0.009727484,0.064124525,0.014178849,0.0050847824,0.019723829,0.017576389,0.006514097,0.13738589,0.007171577,0.006329243,0.006642374,0.015972463,0.008023656,0.003403958,0.011412479,0.006639191,0.005719008,0.21615535,0.009537932,0.0073327017,0.0047438554,0.017779415,0.03435234,0.050571058,0.0057827244,0.0070451437,0.0058228713,0.0046480033,0.013720965,0.014058174,0.06525826,0.013422077,0.0071866876,0.035978235
0,0.007150358,0.008001658,0.0019604538,0.02048136,0.011544162,0.0069915187,0.00896518,0.004313244,0.010270352,0.0037348361,0.0039002707,0.00906347,0.0092354035,0.0048180884,0.016609501,0.0038652485,0.0074308133,0.004721996,0.016760254,0.012450052,0.018483797,0.005619743,0.027765324,0.005616475,0.05117594,0.0070775244,0.0044139675,0.0054798773,0.015011842,0.010859528,0.0054862583,0.0058572395,0.09495671,0.01142557,0.022965329,0.013365054,0.004085999,0.0088340845,0.010663175,0.0100012785,0.021256184,0.026924858,0.012489099,0.008873522,0.008733322,0.008656293,0.0060595805,0.0077218977,0.027256204,0.031360455,0.017849984,0.0010535141,0.0068799965,0.0061072162
0,0.008481885,0.008209783,0.0046852413,0.0028324313,0.003274288,0.008204282,0.0066598835,0.0072914446,0.003158968,0.0044032955,0.003989452,0.007636119,0.0037526551,0.005692359,0.0032782864,0.0037074026,0.031953327,0.0027546694,0.028743299,0.0048963176,0.01288147,0.009480308,0.003814996,0.007273674,0.004083217,0.005208508,0.07682706,0.007641389,0.0032227938,0.0028968095,0.007974116,0.0060576885,0.0057620136,0.075571336,0.0045086793,0.0018936944,0.1234052,0.008333836,0.0051385723,0.0077363877,0.008165716,0.0132972095,0.0038450256,0.015192837,0.031212837,0.007085091,0.010401755,0.014894837,0.01180573,0.0048192386,0.006375654,0.03582055,0.010406428,0.008476654
0,0.00642842,0.0012664541,0.005078008,0.009991439,0.008333607,0.0057313633,0.008659785,0.0053885602,0.010926181,0.0034141836,0.0034876743,0.004595748,0.007352415,0.0042764153,0.004841886,0.0048795766,0.025583733,0.0047482518,0.0025946405,0.014572825,0.009113727,0.013699989,0.003671279,0.0067709466,0.0067164297,0.0022609183,0.0037447624,0.016229017,0.005576548,0.0038171455,0.008035662,0.0020140144,0.009137723,0.0064310916,0.0048001166,0.003511178,0.0033115284,0.025087152,0.01253634,0.0031068618,0.0054319846,0.009544138,0.01006869,0.010395885,0.011573817,0.0039314353,0.0032147984,0.0038211553,0.0043955906,0.012663584,0.032027416,0.0008054866,0.004323933,0.0035745185
0,0.006448955,0.0063713575,0.015216499,0.001793709,0.004901876,0.0019367499,0.004794703,0.003788604,0.01631128,0.0027325815,0.0027214203,0.0017425903,0.0069420068,0.0069561955,0.028978765,0.003339063,0.0037727025,0.0037739482,0.003224873,0.0019620855,0.0022833734,0.0032276884,0.013315753,0.004685886,0.0021012172,0.005185603,0.020504912,0.004242649,0.0041386583,0.009308161,0.011342351,0.0016384537,0.004354767,0.011864883,0.0044420534,0.0042240997,0.030807598,0.029116355,0.004386483,0.0018865959,0.0072233337,0.00090750644,0.010607608,0.0122292545,0.0068976977,0.01186868,0.006231974,0.005869786,0.006259637,0.0142859295,0.0042089275,0.0025111134,0.0009382595,0.004949221
0,0.0047990712,0.0075305374,0.013415992,0.01084919,0.0059503727,0.009034044,0.007317536,0.0046442985,0.004863225,0.0032798748,0.003824213,0.0061719576,0.011178189,0.009085729,0.003618756,0.0046520177,0.009685554,0.0025026489,0.009361257,0.028068576,0.004613295,0.0019202991,0.004845014,0.036653183,0.001462525,0.004909443,0.0041867583,0.003514448,0.017406598,0.0049761343,0.003777755,0.003916709,0.0027065738,0.0039425143,0.0688888,0.0034001945,0.0022597602,0.0038768197,0.002090226,0.004426461,0.001759838,0.008238123,0.004130352,0.016585592,0.019934842,0.014264378,0.014017282,0.004917722,0.0063777785,0.027126,0.05951546,0.016599964,0.0007096454,0.0053615486
