,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,0.010323665,0.007410312,0.012998208,0.006144367,0.016279096,0.0059197866,0.0037342275,0.0027609197,0.005772124,0.0027221553,0.0062740957,0.0025272125,0.005687376,0.004786414,0.0035589947,0.0044377027,0.03105792,0.0035872408,0.005379603,0.02187986,0.004793995,0.007547727,0.004731258,0.00462351,0.004352772,0.0034861101,0.003285485,0.054332294,0.0027690965,0.0048992364,0.0036329993,0.01665084,0.00948251,0.005152838
0,0.024263168,0.008129575,0.0033426574,0.017888017,0.028560545,0.0131544955,0.018315624,0.0034338257,0.00593634,0.0058650104,0.0119751105,0.0032916632,0.007196145,0.0035865423,0.0025717046,0.009253523,0.07029754,0.0038077738,0.017552271,0.01487222,0.029479831,0.04539985,0.0050098067,0.0073375735,0.0072302544,0.082954966,0.004325928,0.0031275356,0.0024631196,0.01565987,0.009778666,0.01001689,0.009992204,0.011045366
0,0.04273316,0.005390352,0.017489372,0.0048952466,0.04793628,0.012133628,0.041285828,0.012191032,0.0043730983,0.023124654,0.03855145,0.006701704,0.013526675,0.018387329,0.004705524,0.011989387,0.005005822,0.017899096,0.026733726,0.0037574642,0.004195345,0.034703925,0.005225353,0.017642554,0.04757803,0.0053366125,0.0036133255,0.030740906,0.0037825312,0.096156575,0.0107703535,0.01419663,0.0054603154,0.014046686
0,0.025108276,0.015132682,0.005706938,0.015217834,0.026082113,0.003537669,0.0034779697,0.012091804,0.0033634042,0.0049752328,0.002576957,0.010346241,0.010372518,0.010124188,0.004899585,0.0049054706,0.0073480727,0.046260804,0.0058406056,0.014202231,0.021390932,0.00866444,0.008030083,0.013638549,0.006689615,0.005051953,0.07587467,0.0030861134,0.004895767,0.0058191847,0.01897876,0.0064401194,0.0033077376,0.008749457
0,0.014526012,0.009995974,0.008160574,0.0031482084,0.0140430005,0.015737059,0.01625242,0.0069349958,0.006438838,0.011313893,0.016142033,0.005914457,0.016602945,0.008739896,0.006010252,0.00530593,0.0054413574,0.0039391364,0.0041330517,0.010993941,0.0031402644,0.00342689,0.04236419,0.02555639,0.006594065,0.01197797,0.0053087748,0.0063256575,0.095938206,0.028747983,0.0061840955,0.004401818,0.001323657,0.009365865
0,0.028092306,0.010745234,0.013492086,0.0017524193,0.019362498,0.0071729147,0.035742458,0.002702988,0.0044725775,0.015304097,0.0048169955,0.025313446,0.008672046,0.0121021075,0.0096454965,0.0025107039,0.006603333,0.01967882,0.0028098752,0.010674978,0.015120876,0.035807487,0.028842304,0.012253308,0.0044987877,0.009187598,0.0043527065,0.06200484,0.004206896,0.009401827,0.012442398,0.003797833,0.023158297,0.008382617
0,0.021146629,0.00165568,0.0150017,0.041468054,0.045600645,0.00815616,0.053352177,0.0034896338,0.04640525,0.003869196,0.038093187,0.09272767,0.012082261,0.0026590999,0.0052948254,0.0026735475,0.019867456,0.004989596,0.009080295,0.03070661,0.0058748075,0.004592289,0.020888891,0.005554717,0.03855556,0.003949265,0.0037685705,0.06554741,0.04083872,0.0056434553,0.018879235,0.018650642,0.017421748,0.015380173
0,0.012556201,0.006659547,0.004974749,0.0018472141,0.0028448342,0.001811128,0.025929246,0.013286535,0.005142684,0.0044647055,0.010166217,0.018372966,0.010982503,0.00830318,0.0026553478,0.003591486,0.002241414,0.010476909,0.035008326,0.002276176,0.010863349,0.044742268,0.0037129372,0.006937134,0.003550037,0.07878438,0.0026110155,0.004628345,0.007230022,0.18462843,0.007921204,0.018036453,0.022944653,0.008776453
0,0.004940256,0.004369496,0.00080436375,0.014100602,0.010648345,0.002361654,0.0027785918,0.0017975065,0.0018354807,0.00845209,0.009529306,0.011640946,0.0023835623,0.004265813,0.0010163946,0.0008989237,0.0038141913,0.0012107436,0.0028536532,0.009141557,0.005831269,0.0012981991,0.00093985256,0.0034944802,0.0017679224,0.0015786483,0.01511042,0.0011672665,0.0014931173,0.00084224134,0.003956114,0.0007768099,0.0013145542,0.003808783
0,0.0060436567,0.00462265,0.0018715077,0.011800263,0.014976799,0.006824081,0.003505725,0.005389662,0.013913129,0.013871513,0.0064478703,0.0011727314,0.002609451,0.004860032,0.0023874103,0.0027547195,0.011113583,0.0025043134,0.0077323904,0.0030751417,0.01337939,0.039796297,0.0032981462,0.006712652,0.0044102916,0.0029933753,0.023731306,0.0026537736,0.0024722784,0.008467074,0.0038706388,0.010585471,0.0024703764,0.0053120716
0,0.017719485,0.007300027,0.0074315653,0.010571971,0.003553078,0.023195049,0.01859456,0.0067466446,0.008049787,0.007020536,0.01974985,0.015484329,0.0085122725,0.0077711623,0.0032299168,0.0048639425,0.0038993685,0.01333498,0.02163058,0.008730273,0.0668504,0.01165851,0.021669414,0.005676741,0.010695352,0.0771939,0.00620852,0.011176224,0.0028024912,0.20552148,0.0048887026,0.027548542,0.0038020771,0.00861886
0,0.02382024,0.023254378,0.014324744,0.027075462,0.026324725,0.027505826,0.018318346,0.028448062,0.027080638,0.022209221,0.014305743,0.022560226,0.016035067,0.020567778,0.026985338,0.014477029,0.024256792,0.018259473,0.011885585,0.02149342,0.024616098,0.015945183,0.02422684,0.011808222,0.022388687,0.012994954,0.027691472,0.021782305,0.014871093,0.022373123,0.012480911,0.0170924,0.023838235,0.01033852
0,0.022861537,0.021038683,0.015851729,0.024779117,0.024681598,0.020109056,0.017619058,0.02513618,0.017920861,0.023512498,0.013972208,0.020425268,0.02078608,0.019591406,0.011594198,0.015817782,0.018155316,0.015030455,0.021627674,0.015409662,0.022860723,0.02160042,0.0148493005,0.01560626,0.021525018,0.015635332,0.013354042,0.023728957,0.01209765,0.01963504,0.01741326,0.011193552,0.018444525,0.020316798
0,0.024873057,0.0036130387,0.012253862,0.019391088,0.028985603,0.01560404,0.0049021826,0.007439572,0.0029664186,0.016789662,0.00811849,0.015725954,0.0058615967,0.021966888,0.0034716672,0.005246434,0.00967234,0.0048533413,0.016180193,0.004561859,0.01047684,0.013814872,0.0046492014,0.0078013735,0.012712189,0.0037512523,0.04458289,0.006568078,0.008233776,0.004713902,0.010506685,0.00954311,0.007863616,0.010626516
0,0.019304408,0.01458521,0.003868323,0.017958472,0.012913761,0.03211414,0.025886578,0.009951901,0.022066766,0.018877152,0.010694691,0.02126064,0.006728382,0.009737327,0.011679924,0.007973781,0.007996093,0.016126417,0.01852908,0.0342496,0.009955501,0.02454728,0.0124557875,0.00934118,0.0152681675,0.012211536,0.010587243,0.006381877,0.010711727,0.011494476,0.06879447,0.01836709,0.0061275563,0.009664332
0,0.013639722,0.0078057223,0.02339475,0.021161988,0.010024037,0.005882256,0.0053623957,0.0034163697,0.019204143,0.0062740305,0.009302236,0.01584027,0.0077018947,0.008886117,0.017453406,0.0028580164,0.0067651393,0.003727948,0.0028713536,0.011641764,0.021933213,0.0064207218,0.0050093834,0.009518645,0.004300431,0.015760386,0.072842814,0.0037245331,0.014072351,0.004352477,0.004484536,0.0060352837,0.0046477895,0.0076092645
0,0.029473132,0.011746045,0.02764697,0.008703424,0.03671316,0.02484982,0.022214338,0.021615632,0.035338983,0.0061662565,0.012403939,0.005182849,0.008483068,0.01189025,0.03081064,0.011096554,0.020373696,0.007134076,0.005573782,0.089986585,0.0141739715,0.0061977934,0.023189358,0.0057628574,0.016812157,0.004315628,0.2923167,0.008987794,0.0036344237,0.04989316,0.016137559,0.009569907,0.009068508,0.0107605625
0,0.02999985,0.028255748,0.031460933,0.031811863,0.02054274,0.025469793,0.03245596,0.031491466,0.024095206,0.018887416,0.027324436,0.022282405,0.026268221,0.031379804,0.021391125,0.02898175,0.025724187,0.029419567,0.02861776,0.022073708,0.028641773,0.022021266,0.031407464,0.019360574,0.031963203,0.033198368,0.028156936,0.019282736,0.027326005,0.030099,0.029292123,0.030892093,0.0225815,0.029145256
0,0.018523933,0.009196,0.0065472964,0.0034977582,0.008526337,0.017679865,0.02774656,0.003442601,0.009146452,0.02005475,0.0032133167,0.0047105625,0.0026930189,0.009212233,0.0037460504,0.017377514,0.03741188,0.004002952,0.018546894,0.008157799,0.0029243522,0.007410811,0.009288597,0.0054037645,0.0031953536,0.059490327,0.0026924782,0.006945907,0.0020015521,0.010745225,0.0032464557,0.0030079428,0.0042316276,0.0086514745
0,0.011320269,0.0038349624,0.0061322884,0.0081395395,0.0044005476,0.009965893,0.014469643,0.0058209253,0.0031288322,0.005269828,0.005437343,0.009862235,0.003597819,0.016392227,0.005588454,0.0036189521,0.002276309,0.0048588994,0.005208098,0.0020433578,0.010977919,0.008291586,0.0024942188,0.037719324,0.0014207069,0.006715895,0.0028602006,0.11334059,0.00310889,0.0013170531,0.017036961,0.0036648018,0.0016622585,0.010212693
