,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0.0037728746,0.0042704055,0.009197725,0.017413523,0.018358318,0.0046896813,0.0059307097,0.028014341,0.008309863,0.002883908,0.006980732,0.0027006585,0.036018413,0.0015717294,0.011668443,0.01011601,0.0042879963,0.14193074,0.004801971,0.014894857,0.0075458237,0.0040414273,0.0030000156,0.14300199,0.013714455,0.0031482726,0.0075106127,0.0021924868,0.008625911,0.0048106336,0.002549378,0.005161572,0.49570152,0.0131346965,0.0045932853,0.0045676357,0.007236973,0.014505617,0.008528712,0.008820258,0.09684068,0.006321741,0.012789514,0.005878176,0.0038029256,0.10570546,0.017084436,0.017655576
0,0.001811197,0.011687979,0.017657189,0.0026833606,0.00984896,0.012741559,0.0028577487,0.006330722,0.005878747,0.008766098,0.0067346655,0.0035206303,0.003925565,0.00514457,0.028219096,0.005142391,0.0034875532,0.002359526,0.0062295236,0.08375061,0.00604729,0.013549269,0.017969457,0.0038591141,0.003881437,0.0110926675,0.0034069032,0.13391693,0.008002533,0.0036018295,0.0030924971,0.012096749,0.22901538,0.004597969,0.004411158,0.003629806,0.0033435978,0.010489621,0.0031082442,0.028514093,0.0063676666,0.014751272,0.0035525565,0.03477367,0.035355795,0.001882013,0.01586437,0.0069395355
0,0.021059675,0.009088944,0.005270435,0.0025314423,0.0120805185,0.004629606,0.012548802,0.0041089533,0.005934666,0.0030978762,0.011469445,0.0036845189,0.0028317296,0.0046942867,0.009088078,0.007426295,0.019896036,0.015459373,0.0047348496,0.0047301827,0.06290734,0.0062348363,0.011204657,0.0038593577,0.0050114063,0.06186327,0.0064373133,0.0042852648,0.007658714,0.008094874,0.011545115,0.009906998,0.0065651108,0.17193553,0.004934823,0.0050028586,0.007400271,0.0038257646,0.005013285,0.0055974685,0.0076263873,0.035844795,0.0046731406,0.011040653,0.039851323,0.003669865,0.009795992,0.008063955
0,0.006524891,0.0034578342,0.0075762444,0.005539526,0.0032991325,0.00880273,0.005270823,0.010840639,0.011910796,0.0048117773,0.0068236087,0.00820171,0.009382143,0.003908854,0.006856747,0.0065775653,0.004268524,0.0115900785,0.007018402,0.0041879034,0.005595707,0.0057796543,0.03241912,0.009678842,0.04462975,0.010062405,0.018993482,0.013481098,0.0079765655,0.0067058727,0.056524374,0.010370079,0.0017323837,0.004968559,0.0058427686,0.0058986554,0.118359216,0.0044950456,0.017600778,0.0041579693,0.0093854405,0.0042375065,0.010161395,0.026081208,0.023313046,0.05434641,0.010273017,0.005818848
0,0.0027044113,0.0023764658,0.0028765243,0.005399791,0.0073764008,0.0034121138,0.0025233738,0.0037416273,0.00312652,0.002025368,0.005567187,0.005826994,0.0068920427,0.0032864988,0.0044625145,0.0026676597,0.00218614,0.003010641,0.004431114,0.0023417897,0.01567185,0.0034502035,0.0033073586,0.025838882,0.0024968942,0.004315786,0.004171415,0.029487478,0.0033454257,0.0036791416,0.0356061,0.0043667085,0.002110728,0.004558454,0.0039514,0.1385784,0.002947324,0.0031046988,0.0034546445,0.0033462131,0.02650342,0.0034152563,0.0019417078,0.0031644069,0.024040936,0.002987765,0.005901617,0.0037675553
0,0.017848145,0.004650985,0.0090291025,0.003382775,0.010789931,0.0055254376,0.012140586,0.003620321,0.008981421,0.0032658412,0.0019634399,0.0062180622,0.010342755,0.013911213,0.026398262,0.0016405695,0.002603776,0.0018617744,0.0068177814,0.006064456,0.024809845,0.006326319,0.0057996027,0.0046357517,0.0029461556,0.07030495,0.0047248295,0.0151682,0.0035713627,0.045059223,0.0073644943,0.0021994957,0.0069256164,0.005904491,0.006703606,0.0023105368,0.21065396,0.004447233,0.005748966,0.0038383373,0.00433466,0.035883408,0.005060937,0.019365553,0.003114628,0.05160681,0.013896334,0.011770281
0,0.019579766,0.003980521,0.0042546657,0.008590349,0.03915937,0.01144667,0.0031953277,0.008805405,0.008529204,0.00985342,0.010832306,0.022759957,0.008681204,0.029692078,0.005888271,0.04202941,0.006993181,0.009409749,0.045261156,0.08210016,0.04552535,0.00941254,0.012412814,0.17980836,0.009144818,0.029822404,0.009467751,0.007045738,0.026332248,0.004878588,0.2166202,0.006607679,0.0064949063,0.16752528,0.010033449,0.014720873,0.007883544,0.004924213,0.42669526,0.0057025184,0.0061437176,0.00467279,0.022732196,0.07540785,0.030694343,0.09215957,0.02492348,0.005678253
0,0.005893915,0.03244773,0.0046791234,0.016045703,0.0035759418,0.008190899,0.007885804,0.0068462347,0.004646521,0.0034211932,0.01566493,0.010469111,0.0074109933,0.0073662647,0.0069375313,0.0057005803,0.027363783,0.023552157,0.0038100318,0.0066649676,0.011118857,0.038742065,0.008168103,0.009657885,0.0036569699,0.057148892,0.0049095363,0.032740515,0.0048777917,0.006312752,0.007945843,0.14676714,0.0077504236,0.006440247,0.00646901,0.21701483,0.0041777366,0.006517147,0.010102248,0.014277613,0.049013093,0.009964938,0.0059942924,0.013339625,0.008257492,0.004377579,0.05633073,0.009158949
0,0.00569353,0.006428219,0.002908134,0.0027784808,0.0023257467,0.0034905355,0.0060634906,0.010712313,0.0024800568,0.0061031217,0.014243413,0.004597153,0.004681058,0.003135891,0.016499253,0.011041642,0.0033123076,0.0026526041,0.0052549364,0.028197609,0.0027777622,0.015314952,0.0064230133,0.010236396,0.005062418,0.0038402139,0.004560402,0.019421808,0.0046723173,0.0038227818,0.003377283,0.006070599,0.0042983997,0.004823588,0.0026370739,0.003805629,0.028731951,0.002753804,0.005956529,0.0057766438,0.010626029,0.010128256,0.0034386269,0.008768111,0.02156243,0.004266273,0.013861784,0.0093030445
0,0.036426783,0.003909708,0.015045469,0.006330203,0.015725732,0.027180327,0.004692683,0.011023173,0.01235111,0.020414174,0.015405997,0.0045042727,0.008667242,0.0025924041,0.0040514893,0.004318397,0.010793448,0.010702271,0.10263759,0.006305231,0.008666058,0.003113303,0.043518897,0.012370962,0.003113531,0.0026633623,0.0051145395,0.013960193,0.0026151785,0.00321166,0.0054589612,0.3123273,0.008469603,0.019587949,0.0055285725,0.006908534,0.003655389,0.004854148,0.039463572,0.0047000516,0.023667105,0.00545532,0.004051176,0.03814668,0.0111468835,0.010319149,0.0033528733,0.012257568
