,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,0.013613304,0.004316782,0.009332487,0.0071515427,0.0025353401,0.018950341,0.00218046,0.012322054,0.005846733,0.0040670927,0.008987734,0.006638823,0.001703555,0.0046233106,0.0037195114,0.013716725,0.01866317,0.0033690468,0.012659239,0.0021984933,0.0028829281,0.0045366506,0.010066187,0.0037243722,0.02641614,0.02696354,0.004683885,0.009075491,0.023187144,0.059128348,0.0014672232,0.0069806757,0.032769367,0.0015353983,0.049543396,0.019928737,0.0034445797,0.0040648524,0.017675957,0.097848855,0.00264231,0.0052292063,0.0037434797,0.010082797,0.009011285,0.0022653588,0.11273723,0.1537178,0.0033031362,0.0019423704,0.0060866107,0.019109033,0.007760506,0.00258867,0.047357794,0.025009412,0.011716021,0.008233278
0,0.002800545,0.0029952803,0.004255571,0.0063202316,0.008590447,0.0092001725,0.007957314,0.012339145,0.0071320035,0.006915624,0.0028075352,0.010854493,0.0060158465,0.0039295293,0.004974411,0.007675613,0.00781322,0.009438403,0.031095335,0.0057466407,0.021474361,0.0037307187,0.010121689,0.003808966,0.0025468487,0.007538492,0.010762273,0.017603192,0.0073236725,0.012244862,0.0026167189,0.033230238,0.003312898,0.015036711,0.008259129,0.006616653,0.012127307,0.018897405,0.0046849167,0.04443124,0.005239137,0.012054762,0.011210275,0.0049228235,0.04426064,0.06944653,0.0048936536,0.008482331,0.011249795,0.019446485,0.011158809,0.010630307,0.0045259604,0.005634979,0.007871332,0.026141182,0.009342138,0.0056408355
0,0.015703194,0.0024372868,0.0026541308,0.0046218536,0.008701202,0.008234205,0.0027268725,0.002101506,0.008133048,0.02997377,0.0015561716,0.00470665,0.004084662,0.0016869449,0.003698359,0.0034725317,0.006760722,0.025665008,0.0036866195,0.004768528,0.0036001734,0.011866908,0.0029919099,0.0059673702,0.02415634,0.022370912,0.0018185931,0.0049373927,0.029115265,0.007929602,0.0019532412,0.021591442,0.00560533,0.035951406,0.004902444,0.0038275644,0.012696781,0.008699393,0.0040360587,0.039230693,0.0043387837,0.056660365,0.0048621055,0.0029322573,0.0033161354,0.0036850488,0.016921401,0.02022756,0.010067128,0.008409749,0.0043955073,0.016097905,0.0057468726,0.0036449444,0.014667624,0.0064411624,0.0043352977,0.00994128
0,0.0036822471,0.0032981825,0.0058302293,0.0025894183,0.0022918743,0.0071805455,0.007338299,0.007137174,0.013406869,0.014101178,0.0069682715,0.0056402553,0.0024725138,0.0064567537,0.0181678,0.008045299,0.0045779715,0.0034512184,0.0074283415,0.008737893,0.0049614073,0.0047218665,0.0053635426,0.0029251322,0.0082925595,0.04440774,0.0027784822,0.0058732396,0.011984722,0.0020854075,0.02205225,0.0048170984,0.0029567904,0.007830957,0.012768423,0.0056257527,0.0076291845,0.027957235,0.004652649,0.0020365675,0.011071978,0.008683009,0.003968785,0.023292677,0.0049732006,0.0048929085,0.0033457614,0.042414363,0.0037378718,0.010430252,0.0048822146,0.006818169,0.008193918,0.012384911,0.007703309,0.009085643,0.005807304,0.0077698855
0,0.006240771,0.010184149,0.020204075,0.008463035,0.008862826,0.0039705876,0.0073122657,0.01487732,0.013263468,0.0058246823,0.0133108925,0.011115648,0.007831453,0.007122575,0.01259872,0.011782922,0.0066550565,0.014323902,0.005299029,0.024522124,0.0058644046,0.009718981,0.0058531477,0.009141155,0.008349584,0.012912241,0.005474667,0.010677208,0.015279735,0.008765501,0.006924911,0.0062458515,0.053421434,0.0069863307,0.10020762,0.011077341,0.009457877,0.025098437,0.014778304,0.007380525,0.09376168,0.00996096,0.012016144,0.018884487,0.028773937,0.008536118,0.06685606,0.2509991,0.008596621,0.020908404,0.026708309,0.009142416,0.011340357,0.012681374,0.013087661,0.013448326,0.008026977,0.014198158
0,0.004450688,0.0035093483,0.003973166,0.0043188073,0.0056814607,0.011487521,0.006438838,0.0014586061,0.0028742577,0.0011855599,0.0026859676,0.0024434936,0.003723077,0.0033186532,0.0014712267,0.0016193012,0.028920352,0.0030180141,0.00359035,0.0018639152,0.015005829,0.0016613662,0.0031373685,0.0085036885,0.025622102,0.0019305254,0.0031890916,0.0065436615,0.009551145,0.0011107277,0.0025491042,0.0017180599,0.03240951,0.0032043213,0.005610635,0.0028234504,0.016500065,0.0022003183,0.0045916773,0.005844231,0.04474202,0.005163445,0.0031211996,0.011733564,0.003605694,0.0013446874,0.028732322,0.08367793,0.002269608,0.0028883144,0.0018693669,0.004868103,0.012104906,0.008370999,0.0032184648,0.0011916255,0.0017558935,0.0063808737
0,0.027524922,0.024625292,0.03082326,0.023678396,0.02483198,0.024419978,0.023903918,0.024526738,0.023219766,0.031058192,0.024981005,0.024470808,0.024063932,0.024520677,0.037945542,0.024798246,0.025110919,0.029363513,0.030440422,0.024813317,0.024600545,0.024446938,0.026886642,0.023213014,0.023911385,0.023341892,0.0256855,0.025572902,0.023809424,0.02323474,0.03654142,0.02651618,0.024418745,0.023573954,0.027259644,0.029495278,0.024459178,0.027427848,0.024322934,0.023221508,0.024368202,0.02664777,0.024245901,0.026435157,0.051927846,0.024423828,0.023952791,0.029745804,0.026255453,0.025939899,0.025011407,0.02535805,0.024089623,0.023229957,0.024237165,0.030982066,0.025122872,0.024057666
0,0.003432955,0.002444218,0.0031151283,0.003924053,0.010098206,0.0048016068,0.0018729762,0.0045383973,0.0024158026,0.0023248508,0.0029421973,0.011783222,0.004564261,0.001995567,0.00424169,0.010570624,0.0033022244,0.0032974586,0.009315138,0.004559021,0.0027293738,0.0042612664,0.00254016,0.002746679,0.0031628641,0.02157434,0.003296219,0.0026044063,0.024389567,0.005842215,0.004631195,0.033880156,0.0025216364,0.0026414793,0.0022153237,0.0036141155,0.0023573304,0.005509099,0.002710706,0.031953923,0.0029698194,0.0036869454,0.0026754045,0.07464156,0.0032464634,0.0027815215,0.0067095207,0.0019315169,0.008825359,0.0046091457,0.010428189,0.010020295,0.0073161023,0.0018655325,0.003004543,0.002665035,0.002817142,0.0060269455
0,0.0034246203,0.0030468395,0.0029131183,0.0047610006,0.0036179088,0.0017481353,0.0032847028,0.0040933886,0.0014878956,0.0020576683,0.0070184614,0.0026862856,0.0030691759,0.0024326674,0.0046177334,0.0073099234,0.019667361,0.0020788189,0.0026826027,0.0019129061,0.0029032019,0.003733488,0.017855687,0.0022173335,0.001737442,0.0030497161,0.00337411,0.0036876951,0.0013907201,0.019692456,0.0053359647,0.0028612618,0.0034325193,0.022194305,0.0030624894,0.0024673291,0.0046643564,0.004800504,0.002169763,0.01465665,0.003633006,0.0027147245,0.037463587,0.0025924041,0.0022194774,0.00713858,0.0014818995,0.005043832,0.0073661953,0.0034219834,0.0037085018,0.0022609688,0.012168376,0.0015961364,0.0049908413,0.00092457316,0.0040807803,0.00293395
0,0.017648041,0.017190278,0.017371839,0.017472642,0.018846985,0.018840507,0.017688304,0.017568206,0.01677675,0.017248832,0.017110776,0.017431792,0.017485587,0.018055411,0.017495176,0.01717926,0.01789715,0.016769625,0.017359154,0.016084075,0.017679939,0.017888881,0.01721852,0.018318787,0.017194364,0.017575836,0.017977672,0.017258897,0.017377693,0.01809075,0.018394578,0.017216494,0.016850332,0.018000301,0.017182996,0.017056273,0.017605007,0.018418584,0.016876975,0.017508885,0.016827455,0.017887667,0.017091077,0.0183448,0.017445313,0.017077047,0.018086975,0.01739444,0.017736565,0.017144563,0.017800396,0.017611688,0.017214585,0.017268889,0.017413342,0.019134052,0.017081043,0.017818838
