,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.011531301,0.012718534,0.009684328,0.011938274,0.0070136213,0.00848934,0.01357019,0.1470982,0.016264746,0.017825607,0.008023898,0.025113603,0.006893887,0.04406594,0.025122788,0.155996,0.016281165,0.024173493,0.11526392,0.008933402,0.058180597,0.0056480565,0.0033449742,0.014782517,0.01967963,0.00900159,0.034746848,0.00650811
0,0.0034866203,0.014009428,0.009057613,0.0157713,0.009857323,0.12483722,0.004464311,0.0091021685,0.009862742,0.0044004554,0.04585048,0.09931348,0.009271626,0.0053955237,0.006126389,0.010953128,0.068277314,0.0086204205,0.039955106,0.013015687,0.0029157044,0.017289285,0.011436141,0.010259244,0.018705621,0.007732332,0.005951619,0.021480678
0,0.0055665295,0.006685887,0.0017002934,0.003700535,0.0146010285,0.015204028,0.03940338,0.008213907,0.004589679,0.0014237664,0.0018456603,0.024327492,0.0013041259,0.06763181,0.003706508,0.003520162,0.016019387,0.0032648428,0.0015955757,0.009752177,0.04854499,0.007765814,0.025297241,0.0013850096,0.016130617,0.0043459726,0.018149104,0.0056953044
0,0.02404876,0.021801649,0.0221057,0.024857992,0.02685465,0.02790238,0.026095372,0.025714345,0.022538513,0.026217375,0.028891211,0.023553822,0.02664856,0.027438411,0.026460595,0.02847109,0.026585992,0.02314813,0.024847725,0.023025028,0.02748457,0.02446222,0.021630222,0.020829601,0.024693836,0.027884038,0.024388496,0.027817916
0,0.0026011914,0.0037520719,0.00990682,0.0022479177,0.0025291448,0.0024854064,0.017003344,0.017598428,0.0027624853,0.006491369,0.0026779377,0.0018044293,0.009579317,0.03627962,0.014837606,0.002241929,0.0045739836,0.028280081,0.005773276,0.014932538,0.0021736512,0.009361239,0.0037925276,0.00318603,0.009777244,0.018017411,0.002186529,0.015375287
0,0.015410445,0.012704142,0.00983918,0.013200013,0.03331068,0.13825871,0.005329295,0.006895647,0.037068497,0.008696334,0.14148588,0.011537836,0.012324121,0.0055058054,0.019615168,0.10869164,0.012794186,0.05051384,0.011338551,0.0079666665,0.015219049,0.018467752,0.0058758575,0.003578724,0.004870398,0.014800042,0.014585286,0.008494563
0,0.009203324,0.013388579,0.008030126,0.020551378,0.0933217,0.008050777,0.014190052,0.03837163,0.011751631,0.08247117,0.015047512,0.0067409403,0.016973818,0.063316666,0.013408578,0.04667999,0.0065126843,0.010722844,0.0176097,0.008652313,0.020680668,0.006660556,0.004955888,0.0077141346,0.01401831,0.014208794,0.013412011,0.006065779
0,0.0058083255,0.005026783,0.0060786055,0.0066238306,0.002467788,0.007441417,0.117105216,0.0048188656,0.0037916016,0.006657695,0.028539496,0.0794661,0.008066034,0.011333158,0.060235765,0.006444001,0.053650398,0.0038860673,0.0050584045,0.0062892404,0.008022836,0.0030901958,0.0047524474,0.007026352,0.0038191173,0.0030236822,0.0021619175,0.004101982
0,0.0016019669,0.026046734,0.0024575384,0.0019924934,0.024919773,0.023436377,0.019476166,0.010652683,0.0021795314,0.0032690929,0.014518437,0.0015816011,0.0033464134,0.043105066,0.0036888672,0.0018201137,0.009662561,0.0248014,0.007351673,0.014859209,0.009509843,0.011524031,0.0026952033,0.013764784,0.033093046,0.002137074,0.014406616,0.008130705
0,0.003213442,0.002613418,0.0017582938,0.018110948,0.027983068,0.0032365338,0.00432613,0.0035921584,0.012596633,0.008339303,0.07778775,0.003498189,0.006252833,0.00966991,0.0048782313,0.008295151,0.061639532,0.004846734,0.0138658,0.0030601495,0.0016789887,0.0123750465,0.025185982,0.0030378539,0.013770061,0.0025766091,0.0019328126,0.0034338718
0,0.006651987,0.014005951,0.009677069,0.005497635,0.008805593,0.029860798,0.021090386,0.16377632,0.0072540166,0.047668584,0.014650776,0.004591108,0.030010592,0.08380886,0.026952125,0.011111839,0.0106391115,0.023150936,0.06693843,0.017202826,0.069274224,0.0077583776,0.006468048,0.009541379,0.015715543,0.0073609496,0.014696996,0.017162876
0,0.002395052,0.0040540355,0.0016647618,0.0063194744,0.0011477306,0.0090192435,0.01627304,0.012245178,0.0025087139,0.009926746,0.0017097449,0.008346361,0.029460777,0.0050550695,0.02216339,0.0063118525,0.008077706,0.029625472,0.001457415,0.0027705426,0.009148582,0.0013188394,0.004065183,0.015727999,0.0023377014,0.012063863,0.0013720786,0.0082765985
0,0.044427786,0.034558326,0.031567313,0.050417606,0.053132977,0.03617268,0.05319385,0.050750814,0.04314818,0.051672876,0.059304614,0.040465076,0.028320575,0.045588143,0.058116462,0.046143,0.04717045,0.02491418,0.045071844,0.027552785,0.032175347,0.05427349,0.043671228,0.044189185,0.036754817,0.054584853,0.026778098,0.043735918
0,0.011862093,0.013780581,0.0031692612,0.010250126,0.012493076,0.017320495,0.0149956485,0.012527725,0.011950097,0.015270735,0.008236,0.019262461,0.009657283,0.013848459,0.018661374,0.014998353,0.01440837,0.007178978,0.0066580134,0.004756721,0.012506902,0.011714966,0.016299358,0.012565865,0.017042793,0.015437564,0.014836066,0.01690835
0,0.011628938,0.009431637,0.009616398,0.009820587,0.021676099,0.035707954,0.026651854,0.01475595,0.011518047,0.034186292,0.0073699444,0.024288591,0.0100847585,0.04816093,0.0046267505,0.015105447,0.017581189,0.043888073,0.027079728,0.02124483,0.0042946325,0.033775683,0.03213872,0.018392274,0.015396547,0.012762563,0.034870982,0.004027528
0,0.0031121003,0.017324781,0.0016942506,0.004740302,0.0021811852,0.00991617,0.014320537,0.0023249958,0.0014327746,0.010238711,0.0032324386,0.026238823,0.012206522,0.010098116,0.016742403,0.006894266,0.0092167165,0.0018038718,0.0038334776,0.0024887968,0.0031486587,0.0077720224,0.008300084,0.0018468869,0.012134246,0.0027913302,0.006451546,0.0023919996
0,0.0038839914,0.0060946187,0.0036594293,0.003563457,0.009809771,0.010115443,0.0031519409,0.0057443394,0.0025208185,0.00687986,0.002583235,0.008390925,0.00495811,0.03808215,0.0030729598,0.0050488766,0.0032191335,0.009283973,0.027014472,0.008393389,0.0076546744,0.0034172647,0.01129575,0.008291194,0.004755238,0.0028112116,0.010567083,0.0031171357
0,0.0056250566,0.002210627,0.0025485477,0.0029011609,0.019640988,0.0017978315,0.0025946135,0.015272986,0.012034821,0.0026144683,0.0019899567,0.009353097,0.011028123,0.0065348027,0.031953856,0.009504863,0.0017880312,0.0067896103,0.019305242,0.0044580977,0.008126073,0.0019585106,0.009189534,0.0020619633,0.007610165,0.0016816788,0.016517183,0.0074098012
0,0.0010876858,0.0018528557,0.014730599,0.008661549,0.0019216844,0.01686171,0.0077654645,0.0014399312,0.0010578516,0.0013355439,0.0035325643,0.051161483,0.0022729523,0.008083362,0.0054170513,0.0023574356,0.039784577,0.0065291612,0.0046228603,0.0011904185,0.0010436509,0.001968876,0.015012322,0.0014387908,0.0021456673,0.014877705,0.0018548551,0.0035079115
0,0.023368925,0.02836169,0.023094771,0.027060436,0.020808103,0.029947558,0.028150717,0.024488857,0.022514341,0.021436552,0.028384006,0.03270241,0.029391073,0.02544503,0.03208862,0.026643118,0.02702463,0.024451744,0.024608856,0.02170041,0.030479705,0.019692479,0.020243196,0.024889503,0.030871034,0.02762874,0.022410654,0.020286007
