,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.020483024,0.019707255,0.019216942,0.020166509,0.020254094,0.02023931,0.019702548,0.020525003,0.020148125,0.020383785,0.019458754,0.02131651,0.020554531,0.01981149,0.02062904,0.020195551,0.020343442,0.020002661,0.020138483,0.019681638,0.019016186,0.020940643,0.01981884,0.020124476
0,0.010879777,0.0035401497,0.0074400255,0.0054360875,0.008323001,0.006039628,0.0012378779,0.0059546945,0.0075748786,0.0032242432,0.0075970273,0.016936734,0.01949214,0.005908105,0.016079238,0.0046505523,0.0660144,0.006351049,0.0054904358,0.0030876761,0.008489814,0.011145607,0.0026432716,0.013295802
0,0.021522537,0.005737989,0.016104264,0.008408352,0.005044031,0.0063908393,0.014369661,0.023040256,0.0049215457,0.009161888,0.015535157,0.030454451,0.0028036907,0.017482566,0.003849859,0.019493371,0.09467743,0.002718922,0.0029592614,0.003086226,0.0023878068,0.0039015103,0.008720221,0.036572896
0,0.02192134,0.0069438214,0.010523043,0.014881744,0.007836387,0.007532226,0.0074078226,0.014897257,0.0111079095,0.0047154054,0.013585555,0.02131545,0.0327475,0.009141967,0.019822948,0.02448052,0.0073049734,0.014768081,0.0057418747,0.25652024,0.004979805,0.022749469,0.0130224265,0.015113287
0,0.025381863,0.004792928,0.00900862,0.012684713,0.007530733,0.0055744853,0.006866269,0.009920277,0.014086767,0.021390148,0.0046580518,0.002443674,0.003109412,0.03644165,0.027411694,0.119765155,0.009689941,0.0032784285,0.0032530972,0.014474771,0.0021051832,0.032871094,0.0039067282,0.0026012138
0,0.027301952,0.0024798564,0.004936116,0.012893015,0.009911236,0.016507719,0.0021778957,0.004549796,0.010951149,0.012423779,0.02269368,0.03094866,0.009570476,0.0023415068,0.006670044,0.10717194,0.009962647,0.08481335,0.0032399646,0.007720777,0.0077865347,0.008498087,0.015015897,0.0032276853
0,0.012580718,0.003201278,0.010001024,0.00451003,0.0068060965,0.009583878,0.0084536765,0.0071231415,0.0030790663,0.07278859,0.0067857853,0.0043492606,0.022001266,0.1884537,0.06107603,0.021951793,0.052281488,0.007943023,0.0030019542,0.008131474,0.009146504,0.009203689,0.01976378,0.013657871
0,0.033808347,0.01953449,0.017697321,0.045403138,0.02133817,0.024704944,0.03816529,0.09413658,0.0036394417,0.018974468,0.021261508,0.25672472,0.043844286,0.025750287,0.017674971,0.017641505,0.002299121,0.062813245,0.004850086,0.0028498513,0.0021155172,0.02732049,0.009066858,0.11294133
0,0.015448613,0.004944308,0.009316449,0.0057836208,0.0065526175,0.0057473355,0.012397982,0.014859629,0.0032858269,0.0026244598,0.008844486,0.0022782646,0.03582385,0.0021226439,0.01564865,0.039115693,0.0040118992,0.0026079784,0.006120689,0.0015199758,0.0022807438,0.009060816,0.0017941445,0.017821802
0,0.012155481,0.002185807,0.0034244775,0.004698225,0.0020428456,0.007211236,0.0061341086,0.0061455583,0.006122265,0.010599643,0.03346949,0.082758546,0.036331613,0.009904281,0.009579669,0.07487181,0.004000094,0.0046880925,0.0013253518,0.003116586,0.0016957015,0.008577623,0.020881383,0.0017380128
0,0.008276395,0.003417266,0.0054543833,0.004672972,0.0072114677,0.0049021826,0.003987334,0.004911093,0.009287215,0.008026339,0.005146005,0.008787014,0.025450278,0.012999409,0.030939206,0.0064719836,0.0034424707,0.005462131,0.0022937765,0.0025271333,0.006804051,0.022582617,0.001529013,0.01311445
0,0.0060909395,0.0037851555,0.005295855,0.0041125943,0.005137766,0.0037417375,0.005180634,0.0026699328,0.00731764,0.012949068,0.003646683,0.0075300485,0.00333157,0.04390417,0.004754859,0.007380689,0.014571406,0.003886128,0.0039801653,0.0045760446,0.003577218,0.0055699223,0.0059727523,0.014454466
0,0.0676264,0.004027471,0.015682768,0.0018640306,0.0071418723,0.0055356342,0.012876002,0.004614285,0.01946587,0.0020738235,0.013513702,0.009534744,0.034505352,0.025261816,0.11640983,0.012019927,0.009969426,0.003248836,0.008483786,0.004310085,0.013477218,0.0027978015,0.0030817108,0.05096475
0,0.011288697,0.0070453105,0.009469186,0.008132075,0.005003647,0.01203814,0.00705078,0.009935034,0.0088315755,0.007327407,0.011785543,0.060117006,0.007015701,0.0072722244,0.014938621,0.087984815,0.015668465,0.0048802393,0.008447624,0.025464172,0.008555952,0.007208481,0.008630736,0.02351519
0,0.013797441,0.004621915,0.0071584154,0.010021316,0.005970989,0.008391906,0.00431687,0.011145054,0.009887046,0.016342144,0.010539778,0.0101991,0.006287024,0.004941278,0.053950045,0.012534333,0.0573991,0.045805056,0.006426553,0.0069438713,0.0030467887,0.0077609215,0.01645096,0.009595064
