,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,0.0014625903,0.0016403149,0.0025990398,0.0042556575,0.003771755,0.012960433,0.0012327449,0.0176392,0.0064729466,0.002210608,0.0020054337,0.0104137715,0.0015601352,0.004393371,0.01495481,0.00844468,0.0035990172,0.003260684,0.006431234,0.0012453687,0.0024215507,0.002288767,0.008203491,0.0045411405,0.0010242728,0.008543345,0.004796118,0.024586832,0.0058800005,0.0017635921,0.014650667,0.0012879574,0.0065596453,0.03660265,0.00937944,0.006109208,0.014298053,0.0017421152,0.0073740724,0.0012431815,0.001495859,0.0027297218,0.012732487,0.0014095012,0.003782574,0.0050072186,0.0011398477,0.0017856905,0.113157496,0.0019646036,0.0014076642,0.0012643201,0.001586219,0.0026293406,0.016678166,0.008494374
0,0.006029229,0.005051725,0.0019670825,0.008116973,0.0053826347,0.002715764,0.0034440919,0.0022149833,0.0029280123,0.007479261,0.0063692145,0.011339951,0.0060377903,0.0048531853,0.003380175,0.0014052044,0.0026336221,0.002853066,0.0066110287,0.0056377714,0.0047710068,0.0067991833,0.00083686743,0.0044813696,0.0037609092,0.0039175116,0.008004179,0.0016777089,0.0030757484,0.0027271823,0.0016316677,0.009365113,0.018413644,0.010449114,0.008102966,0.010185607,0.0042692926,0.0088819815,0.0010454337,0.0066869,0.004723733,0.0075582787,0.0035864827,0.002031333,0.02658292,0.004246819,0.004762402,0.0071370862,0.0028034572,0.0043838075,0.0028779074,0.018939776,0.0030153624,0.0056212437,0.013579308,0.0059204097
0,0.0021832597,0.001574266,0.0041223513,0.0013228732,0.0030332478,0.0008360059,0.003050273,0.0058780694,0.0010828633,0.0011979338,0.0038564168,0.0009439074,0.008629406,0.0033459938,0.0019265458,0.0008897718,0.0016625435,0.0023266973,0.0039220895,0.0014985136,0.011877826,0.0023228663,0.0026737002,0.0059373784,0.005517753,0.0023967798,0.007825997,0.0012847242,0.0009314989,0.0018205348,0.024410998,0.010434391,0.0033337874,0.00846015,0.0067366757,0.00088887266,0.001487472,0.0059559876,0.0024224413,0.0036704454,0.0012668787,0.0017106665,0.07910629,0.0015197665,0.0010721555,0.0066116117,0.008239589,0.0016075491,0.0034371712,0.0022738946,0.0011463261,0.0019970338,0.013263112,0.009229017,0.0023812016,0.003809015
0,0.0034233807,0.011273586,0.01291175,0.0133517375,0.0036243242,0.013881652,0.0106173055,0.0023964185,0.008924575,0.012520407,0.0063317623,0.0066643176,0.012117543,0.001604246,0.0041191713,0.0050396603,0.0038640643,0.0067448453,0.010016038,0.010731471,0.003066156,0.011422462,0.0061379205,0.0017780808,0.012891928,0.010696568,0.004085764,0.0047645266,0.0071415883,0.013458003,0.006538949,0.0034928354,0.0063858638,0.0015936474,0.04982081,0.016556958,0.0024764955,0.012084601,0.020183316,0.008590738,0.006857189,0.0039075655,0.015160688,0.0066123726,0.011394815,0.002673039,0.0036329546,0.005773033,0.11798891,0.0048496304,0.0029300917,0.004679206,0.0040579843,0.00487604,0.028693812,0.011384543
0,0.010009893,0.005893258,0.000887961,0.006865296,0.0048374585,0.008707427,0.005325626,0.0020516766,0.013245238,0.010383688,0.0052797156,0.004118606,0.0025405672,0.0014504403,0.004016183,0.0058377655,0.0039683194,0.001999241,0.010652683,0.0052228156,0.0061194655,0.011601304,0.00441014,0.0051035527,0.0031571458,0.005533876,0.014693164,0.0018976857,0.017902542,0.00966158,0.013381682,0.021503577,0.006507176,0.017554237,0.004288888,0.01438441,0.0047456273,0.0065838024,0.0043100584,0.01998172,0.002386209,0.031937737,0.002519662,0.0035001838,0.022674477,0.0040438077,0.005745605,0.002815697,0.001702493,0.010922595,0.0034923723,0.008260711,0.0030732697,0.022914158,0.012787413,0.008886255
0,0.013796007,0.0123580815,0.00433303,0.0036286884,0.0033416995,0.003808879,0.0046549533,0.016803922,0.018446667,0.006663144,0.00496387,0.01834848,0.002026762,0.0032609426,0.004828576,0.0060763066,0.0030784397,0.0046682544,0.003873179,0.0039099716,0.003489395,0.015716502,0.00658638,0.001982664,0.0039289957,0.007998827,0.008283544,0.019259663,0.0043384237,0.0018853543,0.010886358,0.0069446666,0.00541608,0.008028158,0.013941924,0.0042053256,0.005355104,0.0035942597,0.005466186,0.004840655,0.0046769856,0.0034141336,0.004543594,0.0038134868,0.03643571,0.0036595734,0.0033640966,0.006939706,0.0049917367,0.0053145112,0.0039193896,0.0029370459,0.0034888878,0.020033268,0.003898102,0.007468716
0,0.0085450215,0.0024505288,0.0033995784,0.011902823,0.007835122,0.00567222,0.0057402365,0.0015284751,0.013441889,0.02543158,0.00671172,0.005175226,0.0031918157,0.0012646057,0.0034610953,0.0028770496,0.0032410119,0.004203018,0.0066511077,0.003564983,0.030525463,0.0013152787,0.016577164,0.019352656,0.0058027906,0.01652417,0.0160465,0.0039258488,0.0024037242,0.010451663,0.07404611,0.0044953655,0.024879389,0.008812492,0.022834634,0.0045057805,0.018367503,0.0035362223,0.013932946,0.0074051307,0.009418695,0.0025984626,0.0070844,0.1528864,0.0030229995,0.0036376643,0.013380468,0.003700955,0.011958759,0.022202285,0.003666928,0.004479079,0.003500312,0.016442385,0.006122827,0.0104688
0,0.0049429387,0.0021954556,0.005684351,0.0033167782,0.0011622371,0.00501265,0.0067468523,0.011576156,0.005535448,0.0015467097,0.0069538797,0.0020807746,0.018089784,0.007037163,0.004448597,0.0011584394,0.002486363,0.004076159,0.00258745,0.028205175,0.011014183,0.0029216781,0.007854841,0.0016860586,0.0148889385,0.008875649,0.0403328,0.084224924,0.020689746,0.01145218,0.0229016,0.0028125993,0.0041124634,0.007837736,0.002955336,0.0138563495,0.0016878743,0.017101798,0.0039574383,0.010500589,0.0016734446,0.014635785,0.27340987,0.0023070748,0.010931681,0.0053272885,0.0029657444,0.007609095,0.0091731455,0.0017181851,0.006838552,0.0018356555,0.038880646,0.019230898,0.021398125,0.0068662716
0,0.0024992896,0.0051433137,0.0040203524,0.0014336633,0.0015370849,0.0045832656,0.0047533633,0.0015878169,0.006413088,0.010238741,0.0031456116,0.0032280306,0.006359896,0.0012988904,0.0027388467,0.0022613949,0.0016619271,0.004384938,0.0025421977,0.009191374,0.0032331436,0.0033157158,0.010935362,0.0041945544,0.006818963,0.0043373443,0.0030478956,0.015100821,0.0059978133,0.0055640144,0.009015294,0.0026649728,0.0068672304,0.005331712,0.005245093,0.016768234,0.0025480108,0.007268865,0.0027995864,0.0046634646,0.002356217,0.004382247,0.03001958,0.0022063367,0.002458897,0.00854528,0.007874881,0.008439216,0.0026284256,0.0027737683,0.0055147423,0.011781629,0.010051889,0.017316097,0.0010966554,0.0052464684
0,0.004697237,0.007038849,0.0012787574,0.0027772565,0.0011469431,0.010310826,0.013557628,0.0057512736,0.007200868,0.005920794,0.0021264905,0.01058558,0.0053416877,0.0046401364,0.002746782,0.0015776077,0.0031699603,0.003571366,0.007318599,0.007868963,0.0046158247,0.01183926,0.0063669328,0.0010841923,0.0058560953,0.0055833585,0.0040300423,0.0069546606,0.009536743,0.0032186727,0.0037040997,0.0042918907,0.01801579,0.0052930126,0.023039738,0.009446113,0.010025773,0.016277866,0.0039223297,0.006035948,0.0014128037,0.005003338,0.011674766,0.0044262153,0.008909535,0.0049947193,0.029707164,0.0041682385,0.046113517,0.0044843704,0.0018030943,0.0008466165,0.003669757,0.008979134,0.022432562,0.007759941
