,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0.0029056321,0.0053008585,0.006431021,0.027285552,0.008338731,0.011264953,0.0019947116,0.0020013857,0.006268123,0.002095912,0.004185015,0.00886837,0.012510431,0.0026067,0.042363826,0.017134836,0.00939669,0.01273323,0.004151078,0.00810188,0.0247309,0.0019121515,0.017710764,0.0036462299,0.0075014555,0.017913032,0.0025186113,0.0026921711,0.003586319,0.0019413643,0.007881515,0.004711929,0.0068032197,0.003056683,0.0022614195,0.009966024
0,0.0054394575,0.004249469,0.028757643,0.011704912,0.0069153523,0.0030722108,0.0048484434,0.003382087,0.006042926,0.011698206,0.025235103,0.0023311991,0.0021537582,0.013610128,0.0023838095,0.029601267,0.019491822,0.0021023853,0.0020906567,0.027501166,0.002286315,0.0015830601,0.003345041,0.031555325,0.01629335,0.0030975933,0.0044261063,0.0074553136,0.0019003312,0.003019218,0.011531395,0.0120756775,0.003259551,0.0016968657,0.031554453,0.017739033
0,0.020262228,0.016792754,0.01565228,0.019187463,0.024515161,0.02229015,0.022110948,0.019636828,0.014587788,0.016911829,0.022647874,0.021452742,0.022868482,0.020279506,0.024558559,0.023196444,0.019605218,0.022010412,0.02342735,0.024331955,0.016309844,0.022550965,0.018662782,0.02361515,0.018835431,0.018674305,0.01575469,0.012414579,0.020512698,0.01398642,0.021400431,0.018944455,0.017569268,0.01775658,0.022109242,0.021997
0,0.023108093,0.0041176532,0.009539956,0.010235164,0.043582834,0.012099468,0.021311397,0.018221194,0.00711447,0.006857702,0.004520138,0.013929468,0.01989731,0.011129568,0.04194539,0.0037348894,0.009816253,0.020578548,0.03472631,0.0067291846,0.0042652236,0.03736463,0.0040370747,0.036150586,0.006747555,0.0035355736,0.0030325095,0.01914638,0.010131756,0.007898898,0.004604752,0.0027860329,0.002713665,0.027151398,0.024121564,0.017142603
0,0.003953685,0.027893612,0.018715367,0.0030364636,0.0077306284,0.011739825,0.007701742,0.0019631307,0.006264718,0.015746264,0.0021211437,0.010397053,0.016323995,0.024631392,0.0033721253,0.0013901958,0.002325685,0.030667499,0.014219217,0.007201342,0.022210937,0.011240426,0.004858443,0.021788428,0.0015907874,0.011165699,0.0025404983,0.001603515,0.011188534,0.0023017533,0.0052434783,0.007708537,0.00270342,0.0022102157,0.015017682,0.011030276
0,0.025995266,0.002661848,0.008136633,0.003441126,0.0039459183,0.0059808604,0.043174468,0.013470912,0.014833662,0.0018842457,0.003578901,0.016898943,0.0024163304,0.016363705,0.0010376642,0.0011779413,0.04558018,0.009421348,0.019389132,0.028323907,0.016379554,0.0038882573,0.03850655,0.011420444,0.0076572397,0.0043212627,0.029602014,0.003289155,0.004978347,0.0025271368,0.014723224,0.0051570362,0.008340908,0.0027261141,0.02630663,0.03297585
0,0.025334058,0.022389853,0.021910025,0.01844428,0.014032012,0.019187534,0.01370628,0.021090364,0.008656547,0.023309993,0.025077311,0.015426681,0.021052413,0.021193093,0.022632817,0.013675385,0.020600222,0.023597207,0.021685727,0.01432339,0.011789787,0.019190915,0.023964595,0.014340831,0.011562465,0.01647958,0.021373525,0.007790979,0.01851219,0.017547224,0.02153268,0.018160915,0.014848673,0.008045097,0.02312263,0.021455685
0,0.0062661306,0.02159005,0.013202412,0.008653994,0.0042738193,0.004719995,0.0019498494,0.010261311,0.02886189,0.002942386,0.008074757,0.0019688949,0.011645845,0.0064331056,0.006588582,0.0015595196,0.0075240573,0.046294723,0.024232002,0.002936914,0.016675726,0.0026372368,0.0052022114,0.034119546,0.015671879,0.0061870203,0.11906954,0.009514137,0.00844881,0.0020711864,0.0049145217,0.0069684624,0.0036231158,0.0041373875,0.017853118,0.0047585363
0,0.014390112,0.014365705,0.014662139,0.014420339,0.0143631855,0.014551202,0.014299896,0.014339153,0.014293968,0.014485386,0.014462239,0.014537232,0.0142627135,0.0142724635,0.014591387,0.014223629,0.014390936,0.014492358,0.01430452,0.0143729495,0.014524028,0.014574222,0.014599658,0.0142838415,0.014634505,0.014326556,0.014481247,0.014516283,0.014249627,0.014420461,0.014476206,0.014440812,0.014403967,0.014246955,0.014578818,0.014205427
0,0.012441923,0.04170929,0.024516461,0.012366208,0.002227031,0.018441409,0.006456824,0.03093497,0.0029313902,0.010708074,0.013520581,0.013278884,0.034005806,0.0039107143,0.04785384,0.0029555792,0.036683094,0.036805257,0.04006262,0.0019672175,0.0016515622,0.028442655,0.01653307,0.06096212,0.0058700866,0.0059428406,0.007096506,0.014073986,0.0036091874,0.019240854,0.025718493,0.027636884,0.005141396,0.002060406,0.034017332,0.0024992265
