,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,0.00374628,0.0050344295,0.0014433173,0.008235213,0.0029459945,0.0017361753,0.006065974,0.0062311385,0.0017998385,0.005779572,0.002390015,0.0030993596,0.00890594,0.0016252851,0.004894162,0.008059959,0.003739749,0.0028148738,0.0050270376,0.00383761,0.007926256,0.0021841386,0.008193941,0.012030493,0.0021977748,0.012108505,0.008583281,0.029035347,0.009145734,0.01279994,0.001799984,0.0093867,0.014660658,0.0057104244,0.007828597,0.005911733,0.011733907,0.0048934235,0.032909777,0.003325565,0.0017394462,0.0051528183,0.009172643,0.011119685,0.001519135,0.008423183,0.011370127,0.006495752,0.0028972987,0.0042326385,0.0026496563,0.07361124,0.0036451383,0.0025707018,0.011883794,0.0045844708,0.005034019,0.014564944,0.0046166335,0.003462054,0.002635736,0.0043769246,0.0065962463,0.022659618,0.030166022,0.008751645,0.0041147135,0.008440657
0,0.014650661,0.012977159,0.013435199,0.008336646,0.010440759,0.012935033,0.006440757,0.013113956,0.010964639,0.017453153,0.010750497,0.011851529,0.009647502,0.010484757,0.021020614,0.009427023,0.014809599,0.008601565,0.015635626,0.010923177,0.014831161,0.008751566,0.011603475,0.0148394555,0.017505398,0.017488062,0.014151496,0.017466526,0.01763012,0.0063505433,0.0068175686,0.017068999,0.017798401,0.01117861,0.016758928,0.018508153,0.01778542,0.014335588,0.004229016,0.016424417,0.012252969,0.013602813,0.006899334,0.017665055,0.012680431,0.012429841,0.013090396,0.01016212,0.019339794,0.011718495,0.010274201,0.009257007,0.009785725,0.018688044,0.008827937,0.011537462,0.0090890005,0.0156206535,0.01351957,0.011494201,0.013506437,0.009406042,0.016735032,0.008606331,0.020865785,0.016977938,0.017051606,0.015752243
0,0.003479973,0.003282348,0.004846465,0.002735275,0.0013275803,0.007867192,0.007673111,0.0025499212,0.0022287203,0.009042659,0.004846113,0.0047006244,0.008048218,0.0031244073,0.0033663998,0.0023496153,0.013057634,0.0073498506,0.0033456646,0.004857747,0.0038674963,0.0052877255,0.04324797,0.0037195857,0.011584666,0.0026980424,0.012226777,0.0042763664,0.017331894,0.018177975,0.004722861,0.0028337422,0.0116095515,0.0047585727,0.002374442,0.01903627,0.0037170597,0.004694153,0.020456642,0.0021765595,0.008536316,0.003706774,0.0071722325,0.018951159,0.01616325,0.0055116154,0.0040806313,0.0027662485,0.030774057,0.004413433,0.0036747642,0.0032459158,0.013156656,0.002808617,0.0022283068,0.0059674066,0.010258716,0.0048672208,0.005104395,0.0042450246,0.0044923257,0.0057831244,0.0133998,0.045020163,0.0027771443,0.013572941,0.001511782,0.006634146
0,0.007995937,0.0043290514,0.00868514,0.009134752,0.008048628,0.0018162453,0.021699844,0.039674886,0.004122075,0.0031473911,0.0017483883,0.011108397,0.0078530945,0.0024009151,0.0063165105,0.0024115636,0.0021464783,0.016454805,0.0453345,0.023794595,0.017498314,0.0033925115,0.017182594,0.04584515,0.010212196,0.017892685,0.0030796197,0.002094559,0.00195446,0.020114094,0.032208033,0.009816471,0.0025405819,0.0080745155,0.023474831,0.059476182,0.0025147363,0.006724078,0.016723441,0.00654648,0.0018408981,0.0189371,0.0044314507,0.002241915,0.0047265384,0.0029325583,0.14987017,0.0019505213,0.0023966804,0.0025493186,0.006590833,0.0175831,0.010335603,0.0018426452,0.0019803944,0.0026944792,0.01515695,0.017320892,0.0030683153,0.0034501296,0.0029082834,0.023253387,0.0678886,0.015059234,0.027450353,0.0022075642,0.0035325445,0.009485516
0,0.00415261,0.0030693612,0.0021103797,0.0036586034,0.006834016,0.0052823904,0.003715448,0.0069066696,0.0061897975,0.008432906,0.0059610656,0.009126529,0.008246843,0.0059327306,0.0027948206,0.00476985,0.007442565,0.014552385,0.0019527468,0.025431478,0.013320164,0.007978392,0.003982073,0.0037047756,0.0073846835,0.005595311,0.029853208,0.006420531,0.0045506107,0.008067968,0.023366434,0.017836647,0.00319723,0.011321891,0.005689407,0.007559613,0.014158368,0.027670674,0.003332625,0.013376402,0.0043170485,0.00898182,0.010539891,0.019803593,0.013318992,0.0061831074,0.009793623,0.0063599595,0.0039538033,0.04034234,0.00456919,0.003882241,0.015565933,0.004710905,0.014150525,0.005308603,0.004513519,0.00673406,0.017554237,0.00289354,0.008239027,0.014705844,0.0042393967,0.028693939,0.0154454,0.00625291,0.008089673,0.005574324
0,0.0052544805,0.0016707391,0.0022619525,0.003274934,0.00404555,0.0023690972,0.003738223,0.0031450419,0.0048525007,0.004164363,0.019350002,0.011261661,0.0033127265,0.0029048102,0.0028501684,0.0074583483,0.0018773208,0.0011571739,0.0023329086,0.0015174738,0.0010144829,0.0051727123,0.0036583408,0.0024609084,0.008261856,0.004007925,0.0026225944,0.0025062452,0.009439806,0.0013889201,0.0118120015,0.015461317,0.014557062,0.0013746212,0.00782458,0.012992526,0.0038923428,0.0015539053,0.014774624,0.0037302312,0.017978396,0.009644149,0.005060267,0.0030482549,0.013327372,0.0038260934,0.0024913172,0.0018812617,0.032095313,0.0024342556,0.0018655794,0.0025685325,0.017254595,0.0033969593,0.0033499857,0.00165203,0.0013671208,0.00069506414,0.008793473,0.0025754634,0.015612495,0.002974539,0.0046327207,0.0125924945,0.039944552,0.0022017707,0.007936395,0.0074693984
0,0.013753783,0.0038696593,0.0028384633,0.0016529418,0.006016049,0.007270493,0.0042003845,0.0034093312,0.006509267,0.0061504617,0.0026786535,0.004813223,0.0033548973,0.002063356,0.0020902199,0.0038783315,0.0022718853,0.0033517515,0.034743242,0.008322938,0.002028051,0.004513853,0.0035391687,0.0024797937,0.0020213884,0.0024552192,0.082077324,0.013713578,0.03442097,0.0015048146,0.038968936,0.010517498,0.0023418209,0.003846417,0.010221624,0.0026004184,0.003011447,0.008357402,0.0031119713,0.022829609,0.052646056,0.0020846394,0.006632747,0.0062921317,0.0077654016,0.008265114,0.0031502906,0.0029483202,0.0025321261,0.13367693,0.0034424558,0.0036500704,0.002269038,0.012663298,0.002901383,0.0019272263,0.0073774094,0.0076544643,0.0026574123,0.0046642153,0.0043766354,0.0032769705,0.023976253,0.0756095,0.010744008,0.0029305958,0.006830509,0.0021747386
0,0.010929572,0.008382347,0.012799524,0.01610397,0.0021741993,0.016570177,0.028826455,0.0051120846,0.006017549,0.003624476,0.043071557,0.017945558,0.01563269,0.0033690964,0.006248048,0.003347131,0.012793537,0.0033529736,0.0044073253,0.016658336,0.02647759,0.007649587,0.0021503547,0.025890272,0.007026112,0.021363841,0.023391299,0.008186656,0.0019938992,0.02192637,0.025150884,0.0066751037,0.014999347,0.025805108,0.023926424,0.020508114,0.016905472,0.0012721961,0.0116306525,0.0026987111,0.029443141,0.026216932,0.008663617,0.008015731,0.006366481,0.005685384,0.031991225,0.0034955367,0.004540528,0.004471576,0.027105048,0.013164472,0.016083628,0.009224254,0.015114423,0.0068769874,0.0036009005,0.024821268,0.004930362,0.004750299,0.003391251,0.008850918,0.0044671074,0.020474955,0.041481826,0.018777212,0.0009175644,0.017285047
0,0.0038251886,0.0044589187,0.007303068,0.0066017318,0.004046388,0.008456895,0.004118782,0.009714168,0.009062841,0.010256324,0.009639146,0.009707408,0.006586126,0.004776462,0.0047953716,0.029336793,0.0053695445,0.011994325,0.010804064,0.005914996,0.009836597,0.004313281,0.0037799033,0.008203743,0.004591224,0.0038840852,0.013508381,0.005907441,0.014501016,0.005999929,0.010057889,0.036303516,0.023652209,0.006736408,0.003130205,0.0029641066,0.020964246,0.0062386338,0.01995366,0.040936947,0.0066675763,0.01747634,0.004988209,0.009799933,0.033370823,0.024069307,0.007643667,0.0066416827,0.0037699924,0.07243711,0.0052961065,0.0036892388,0.0048220567,0.055890936,0.030445397,0.006046585,0.0016763957,0.01817875,0.008446928,0.0042636953,0.0071594124,0.0037562044,0.008411637,0.025912138,0.0039558862,0.057769325,0.015399444,0.010286485
0,0.007965155,0.0062918128,0.006303024,0.0012888794,0.017886728,0.012831356,0.03013316,0.011450388,0.0017198356,0.004375331,0.012684528,0.00615709,0.0032686251,0.003317814,0.0046062036,0.012177098,0.005071118,0.008098034,0.003575157,0.006936401,0.10038337,0.02340539,0.0025854658,0.032982472,0.007690783,0.01158246,0.03132211,0.030311251,0.0082895085,0.001972455,0.02042084,0.027750192,0.00782816,0.009489401,0.035525627,0.0052486686,0.034489963,0.014370613,0.0020419941,0.018780064,0.005918025,0.010267314,0.003950663,0.007194731,0.024705749,0.009187489,0.005350702,0.0036060624,0.050422754,0.0036459316,0.0041953437,0.0028382542,0.0091522485,0.030908778,0.0018804444,0.016447136,0.004087507,0.004704785,0.016289225,0.0058465423,0.007900176,0.007025451,0.026003875,0.0044132257,0.0687531,0.018977549,0.017880514,0.01482329
