,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0,0.0058135074,0.007536694,0.0021408622,0.002374964,0.002269229,0.0028262092,0.0020025212,0.0047249934,0.003123016,0.0023764907,0.0076833237,0.0020157297,0.0026143927,0.002826337,0.0032127837,0.0053258636,0.001983287,0.006206125,0.008886869,0.0020353447,0.0053526866,0.004167374,0.00806243,0.0015008,0.0021848744,0.0028107332,0.004985767,0.0016882705,0.0060994495,0.053685796,0.02172116,0.0030914152,0.001568097,0.0018908241,0.011957638,0.0053149196,0.0024677434,0.037163258,0.01360417,0.0016636099,0.039004747,0.0030487697,0.0020302914,0.003183078,0.0028824168,0.041432425,0.0017322024,0.0086960215,0.002412556,0.14507036,0.001997974,0.005103647,0.00739152,0.004613113,0.0014451465,0.0020778913,0.0026490237,0.017678276,0.0064144465,0.0022171387,0.005984371,0.008525877,0.0026937474,0.0030932704,0.0035563668,0.0017423533
0,0.0034870792,0.00328765,0.0024343496,0.0046259467,0.0017485622,0.005482742,0.008720683,0.0024444573,0.0064518154,0.0024672234,0.00436602,0.002925178,0.003351704,0.006123933,0.0050898963,0.002468578,0.0026923427,0.009756588,0.002305553,0.0021632367,0.0028394395,0.005702892,0.0036942023,0.003444632,0.002662585,0.0021684933,0.0032630933,0.0026082254,0.010251539,0.025703793,0.015140552,0.0028103443,0.0024235535,0.008127153,0.00268643,0.0036259242,0.0073398342,0.008247534,0.021423612,0.0053591537,0.0029116273,0.003807993,0.0076146745,0.0059964005,0.0033777198,0.0074056564,0.0027899796,0.0022511713,0.0129775675,0.0024315696,0.002990563,0.010029064,0.0027783196,0.0029413828,0.00356492,0.0054244446,0.0019334006,0.002805199,0.0057188338,0.009281763,0.0029766639,0.00285667,0.0047909087,0.0024675122,0.004488391,0.0032285233
0,0.0019421976,0.008317937,0.0016196182,0.0030251544,0.0028507146,0.00395186,0.0012098696,0.007733061,0.0038463462,0.0021599077,0.014666459,0.0077308947,0.0036643578,0.0059496923,0.006444184,0.009279207,0.005439695,0.0026742304,0.016746305,0.0050819004,0.008584921,0.0074650906,0.009942599,0.0017887257,0.011364178,0.001903996,0.0101940995,0.002301324,0.005444377,0.009580919,0.03924287,0.02287849,0.0031573751,0.004380689,0.005406192,0.08607646,0.020466562,0.029316267,0.0053110206,0.0065387944,0.0024044137,0.10580124,0.0030563695,0.0066699237,0.0023451173,0.010377193,0.0026591264,0.23888513,0.001618502,0.0082289735,0.0022911788,0.004427554,0.0018511676,0.031191707,0.00825191,0.0019961712,0.005168121,0.01285635,0.0066783163,0.0036983113,0.0020818808,0.0023650134,0.003978759,0.0018293504,0.008076036,0.001672024
0,0.0030282598,0.0050158235,0.0022379989,0.0038328804,0.0026085505,0.0044952696,0.0022925765,0.0020530333,0.010973132,0.0021808613,0.005776274,0.0043647396,0.003491423,0.0060027475,0.004501939,0.004656078,0.007789295,0.0033082485,0.0032065806,0.017202448,0.003002861,0.004055262,0.007602951,0.014010818,0.009517616,0.014659384,0.006519549,0.0036829014,0.0029470997,0.014280565,0.0029012687,0.019438697,0.053590875,0.03888771,0.002622432,0.014408058,0.013606384,0.03903697,0.004369525,0.009470059,0.0028444484,0.015978664,0.0037786074,0.0033384298,0.0024890942,0.0037692455,0.003584924,0.018046033,0.0027685408,0.02686569,0.002734565,0.004384328,0.003617622,0.004715,0.0051040417,0.0021529314,0.0032401958,0.008504308,0.0033585187,0.01013252,0.01962418,0.0031819737,0.00323754,0.0038328352,0.007394844,0.003688773
0,0.008327769,0.0050672553,0.005248335,0.0051921555,0.002650212,0.0020011275,0.006269944,0.0048639583,0.0026096124,0.0043333345,0.0051896563,0.0061881994,0.0047753267,0.0094435755,0.0071873297,0.0034905225,0.0028011906,0.011100835,0.0068836664,0.008570271,0.005706773,0.0054673012,0.004427535,0.0074260905,0.006354448,0.0067386543,0.0045983335,0.009560501,0.024227414,0.01515809,0.0025443956,0.005032163,0.0068063997,0.0051510003,0.0055442406,0.017744891,0.0045175506,0.008955032,0.020140072,0.0043572346,0.00658965,0.008547886,0.0052809254,0.023918027,0.0024878522,0.0048774006,0.005080304,0.0038961787,0.008289666,0.028478451,0.004546669,0.0054530976,0.006270913,0.016231103,0.0030850398,0.0064563653,0.0053505064,0.008397804,0.0056023304,0.0069995685,0.0076206583,0.0036264684,0.017259043,0.0071975486,0.0058566453,0.006374634
0,0.010934558,0.01409088,0.039404005,0.00249213,0.006246893,0.012180379,0.005731029,0.033998735,0.003181972,0.004879014,0.02187986,0.012638723,0.010975544,0.0076820664,0.004063936,0.0042141406,0.013417816,0.0110765835,0.010146582,0.0101038935,0.01538585,0.0080251135,0.0077509074,0.032068048,0.020284457,0.0063135214,0.007857546,0.008695854,0.018376147,0.021836434,0.01716357,0.007015349,0.09603241,0.0133392485,0.0139232855,0.015144007,0.013244503,0.0032842874,0.14507833,0.005170394,0.008998894,0.0071401857,0.2506657,0.016724734,0.013368487,0.01038777,0.0069659427,0.008572763,0.00932971,0.007239228,0.046870068,0.06310804,0.01857299,0.008510985,0.008461499,0.018824598,0.01037405,0.0036584903,0.011285797,0.013294008,0.070135295,0.0042841397,0.0052329376,0.003979676,0.013446789,0.0075519322
0,0.007986725,0.0038500254,0.010142593,0.0032692063,0.017037787,0.011895463,0.008556587,0.0078749,0.0073378896,0.0053324252,0.0047921273,0.014065889,0.015204586,0.0055842665,0.003953604,0.0044955127,0.002922563,0.017776892,0.009614745,0.0076855593,0.01281708,0.006575889,0.012339656,0.00664217,0.010138606,0.0052230903,0.005842245,0.013323806,0.020465974,0.02450787,0.025217101,0.0035854075,0.013171907,0.008785962,0.0463557,0.0105279535,0.017682424,0.008487678,0.012992815,0.020927586,0.0052180854,0.007125736,0.059227,0.006444939,0.01011707,0.0055235834,0.010532077,0.014469507,0.012744557,0.08390737,0.005675362,0.009941407,0.009537086,0.0019597765,0.0069579678,0.027558103,0.0074383533,0.016138427,0.018103916,0.0114838835,0.0063940287,0.0080136275,0.030580707,0.02702855,0.00823526,0.0068046628
0,0.0031466149,0.0031358819,0.0031256033,0.0031615756,0.0031369224,0.0031676574,0.003147885,0.0031498051,0.00314299,0.0031833295,0.003135651,0.0031538114,0.0031697978,0.0031706083,0.0031583556,0.0031443497,0.003154441,0.003137233,0.0031560324,0.0031903668,0.0031403059,0.0031192715,0.0031708453,0.0031721354,0.0031591842,0.0031577777,0.003126367,0.003151348,0.0031354274,0.0031640683,0.0031754514,0.003182343,0.0031218852,0.0030999107,0.0031510137,0.0031698039,0.0031447758,0.0031644325,0.0031344367,0.003142603,0.0031732891,0.0031561572,0.0031834426,0.0031544936,0.0031536436,0.003151736,0.003131842,0.0031234648,0.0031692989,0.00311794,0.0031612872,0.0031243092,0.003162604,0.0031440612,0.0031246555,0.003130126,0.0031614571,0.0031293214,0.003139478,0.0031406437,0.0031605675,0.0031831765,0.003153284,0.0031280215,0.003166307,0.0031266361
0,0.056674343,0.055960912,0.058728244,0.056964654,0.055851623,0.058751937,0.05944572,0.059805512,0.05708533,0.058351852,0.0566975,0.059202176,0.055831786,0.05799738,0.059183817,0.05699857,0.05957561,0.058508664,0.05993404,0.058063183,0.059681654,0.05812559,0.055928145,0.060383257,0.057032585,0.055938683,0.0595483,0.05884157,0.06139958,0.06066622,0.057604343,0.058967955,0.055988204,0.059951007,0.057147022,0.0591943,0.058588,0.061244484,0.059026618,0.059442908,0.055965237,0.059566457,0.057871945,0.05887339,0.056659013,0.056840062,0.05977063,0.056951284,0.060062174,0.057802558,0.054540727,0.055434074,0.056211296,0.057090566,0.05654769,0.058816522,0.05609455,0.05793245,0.060161103,0.057311203,0.055760384,0.058763828,0.061282173,0.055960674,0.05904333,0.055138353
0,0.0030365356,0.005701513,0.004025513,0.001952793,0.009882151,0.0056967735,0.0088839,0.0019966261,0.0016526475,0.0058307024,0.004511527,0.004663299,0.006847899,0.003346205,0.0034784027,0.0024984207,0.01890532,0.0023520645,0.002197531,0.0060771187,0.009073437,0.024268383,0.005709736,0.0033660843,0.00322225,0.0023230265,0.003952765,0.0027822384,0.004003279,0.019252343,0.0650412,0.033269245,0.0055639013,0.0048771184,0.015982375,0.0057099126,0.015426289,0.016389474,0.015319677,0.003549897,0.050907243,0.0033866595,0.008431459,0.01564102,0.0038880962,0.017686103,0.009719808,0.0029234109,0.0038112754,0.012576449,0.003940622,0.03209475,0.005712509,0.0031245293,0.00072135276,0.010121995,0.0030646434,0.0088703865,0.016882965,0.003439738,0.0028425031,0.02551188,0.00064523035,0.0033812353,0.008451183,0.0028493851
