,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0.006308805,0.0054256977,0.01632336,0.0044569,0.0025161135,0.009028949,0.00397495,0.010536814,0.008504473,0.028842798,0.0029435626,0.05885525,0.003636232,0.005599226,0.09076148,0.0020410041,0.024821736,0.002583348,0.0020231486,0.015922666,0.016941711,0.038084265
0,0.0013556398,0.0022547825,0.014480091,0.005033481,0.0026312908,0.0020904387,0.00096449023,0.00313246,0.005961394,0.0016068653,0.0017277696,0.008262915,0.012038043,0.0016638396,0.0017446373,0.049900785,0.00095031573,0.0009426897,0.010261859,0.002179662,0.005716432,0.004776317
0,0.0010978046,0.0026687167,0.001755271,0.0020993943,0.016455222,0.0022382322,0.00446887,0.0036689532,0.0021011303,0.009293197,0.003935153,0.0019167566,0.013351102,0.014061458,0.0028603638,0.0024468843,0.0017529373,0.0026732106,0.024678601,0.0018922151,0.0017238666,0.00626399
0,0.0028656144,0.002627917,0.0025120978,0.0018111583,0.013934906,0.0055867215,0.00400345,0.0014865233,0.006208376,0.008971564,0.007819872,0.009051094,0.030246347,0.008926477,0.002294962,0.0038537944,0.11812129,0.001359661,0.0011772448,0.0025972952,0.0011050227,0.00547441
0,0.0064670946,0.014044809,0.013693361,0.010309833,0.008755297,0.016655471,0.0077200276,0.013625622,0.013723364,0.004765497,0.0073279478,0.014257265,0.016881136,0.014801377,0.006967437,0.009540325,0.017280018,0.008055809,0.009945748,0.014645078,0.0054438966,0.014669443
0,0.0053079687,0.007322311,0.0053805215,0.011811891,0.022375481,0.0073767602,0.0040556127,0.004444365,0.015058483,0.015652044,0.009446957,0.015287478,0.01981863,0.003302421,0.0039025166,0.0041545015,0.0024813903,0.03479165,0.0036462955,0.015962664,0.0117717385,0.01376736
0,0.003013307,0.0038334925,0.0046108766,0.00468941,0.0050933384,0.018351909,0.0061801956,0.0055895643,0.0040207114,0.0075777075,0.0045857746,0.014599114,0.015950782,0.0032799419,0.0037133042,0.0039055415,0.015640764,0.023583798,0.0061116377,0.004435845,0.0023597986,0.009738491
0,0.021183016,0.019031242,0.019338375,0.019183103,0.019143617,0.021183286,0.019205226,0.02069386,0.01842268,0.018692648,0.020074151,0.02085291,0.02002592,0.021425255,0.021400042,0.020896554,0.018248215,0.019900424,0.020588247,0.018017104,0.018985465,0.020318083
0,0.0025010053,0.0022062392,0.0048627425,0.003684424,0.013454528,0.005245478,0.0043048253,0.002693184,0.0028244643,0.0020878897,0.005916813,0.0055841156,0.013967421,0.009190071,0.006167627,0.0028559826,0.014631694,0.0026954827,0.002243057,0.0015548029,0.005219885,0.0083152745
0,0.006618747,0.007548909,0.015093128,0.006111093,0.010679108,0.0066534015,0.0059552314,0.008785941,0.0106560495,0.012167632,0.03833592,0.0064997417,0.005393321,0.05993766,0.0050980425,0.0059678284,0.0020342264,0.005273046,0.0047230064,0.00413924,0.010862615,0.00808295
0,0.02518942,0.024954583,0.025226785,0.025428941,0.023831956,0.028913332,0.026294285,0.025766466,0.023596471,0.025492432,0.03114462,0.02842277,0.020990953,0.02847357,0.028558321,0.023422623,0.015136748,0.029194424,0.023588216,0.021999462,0.021229733,0.027106933
0,0.0036864937,0.015268533,0.01417184,0.00926074,0.019682446,0.01520267,0.010104695,0.0124282325,0.0086276885,0.018248143,0.07558597,0.009246702,0.02017844,0.1089056,0.00704312,0.013364543,0.004033644,0.28961036,0.009171659,0.012420778,0.015574892,0.008387609
0,0.006986439,0.0042432775,0.0058125122,0.005821643,0.0076258387,0.015500927,0.012886274,0.010482055,0.0037684683,0.024956405,0.004594869,0.0042886846,0.012857609,0.056477606,0.009332073,0.18890493,0.007915862,0.004853661,0.00576751,0.004998977,0.008205826,0.0027752751
0,0.011781501,0.0100503,0.0113203535,0.009284552,0.022194402,0.0130311325,0.013292649,0.0060616173,0.0031034152,0.021256482,0.016700365,0.0041701337,0.007559563,0.022658683,0.011685077,0.017307807,0.0061606336,0.0072634723,0.0064823306,0.021727469,0.013042949,0.015771218
0,0.0048459335,0.0043870243,0.01594237,0.007370586,0.010051604,0.033904403,0.0045676376,0.015584114,0.0178897,0.0035186703,0.024292113,0.07238082,0.0017720633,0.031211575,0.020788386,0.007317487,0.007169014,0.03353472,0.035130456,0.029813161,0.0019591816,0.020253591
0,0.020193163,0.020412972,0.019434113,0.02054896,0.02128514,0.020504521,0.020745598,0.020742958,0.019072957,0.019339975,0.02054796,0.019839043,0.021210842,0.018844208,0.021450853,0.019035427,0.016325435,0.01966469,0.02166511,0.020311715,0.020057546,0.021304106
0,0.0020776114,0.0027174046,0.005755426,0.001503197,0.0022593741,0.006494137,0.0075053335,0.0038256173,0.005201333,0.0021022873,0.0075730253,0.003017875,0.0043510473,0.008774343,0.014298108,0.0036683953,0.052599642,0.0022834623,0.0024879305,0.0013898774,0.002204724,0.005625536
0,0.015697202,0.002407378,0.0023543998,0.013637958,0.003962219,0.0027707454,0.0017419197,0.0011836123,0.0012270866,0.0062127635,0.0017262946,0.0017947545,0.002308781,0.013660496,0.01190071,0.0016846274,0.0017973394,0.021402339,0.013295183,0.0010955266,0.0014758959,0.0060770125
0,0.018203642,0.0074062874,0.009993222,0.007225898,0.0061462014,0.005929481,0.0057666865,0.0034740036,0.014305348,0.013215433,0.021177737,0.0044683334,0.0034163569,0.014167364,0.09392294,0.0063341022,0.19486317,0.0036148229,0.0038047254,0.017387172,0.014160099,0.005586899
0,0.007886289,0.0066366945,0.009872773,0.0047586584,0.0047707893,0.008088698,0.013007805,0.019194042,0.008844612,0.005724015,0.0038049442,0.0027482572,0.012083508,0.003477758,0.005202883,0.015361685,0.016823195,0.0038700728,0.025391724,0.0028614004,0.0030341838,0.011339165
