,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,0.0023588908,0.0026979516,0.0029610912,0.01062625,0.0018366491,0.022706881,0.011163067,0.015930025,0.021113176,0.009721863,0.0068470715,0.003374649,0.01400119,0.006853135,0.0043619224,0.007656896,0.0057895435,0.03557464,0.017676279,0.016176708,0.0040468583,0.0047443192,0.0039991005,0.0051478464,0.006091724,0.0136809945,0.0037890412,0.00321115,0.0025269156,0.02158203,0.012823628,0.0064566713,0.005573227,0.0030296317,0.005550496,0.017221984,0.013944437,0.021028437,0.0036954856,0.002691243,0.011135841,0.0039621196,0.037301656,0.004144289,0.0053233383,0.013014517,0.0026741007,0.05124524,0.0043327976,0.004650338,0.0050634732,0.0060901805,0.0031952246,0.0032377462,0.003156775,0.0893724,0.0057843253,0.008582231,0.0060735624,0.0063188095,0.0026342976,0.012932313,0.0030642224,0.00419198,0.027739337,0.003309134,0.023947341,0.02153579,0.009089125,0.002859113
0,0.0066510574,0.0030012268,0.0021944114,0.006436477,0.007493025,0.0056597283,0.0013982494,0.002929147,0.0012626499,0.010167628,0.0285725,0.006349761,0.005892038,0.0022625627,0.018137539,0.0135727115,0.0063245627,0.0023001966,0.00347042,0.0063293804,0.0067249187,0.01318918,0.014355377,0.012006989,0.0048215603,0.023482226,0.003590887,0.0022004074,0.014961802,0.008243161,0.0036893669,0.005798132,0.005500456,0.0019696455,0.017508112,0.009477088,0.0020960774,0.0049414965,0.0067687123,0.0014460759,0.02730665,0.0033943371,0.051208295,0.0028383324,0.001998339,0.008566887,0.01568003,0.002576157,0.078224845,0.002967625,0.0050459313,0.017392663,0.004233772,0.19142447,0.0019164555,0.0019690637,0.008163612,0.0053439704,0.0029417677,0.022269148,0.0038992576,0.0026341695,0.037979048,0.025151214,0.008496392,0.014650467,0.0074354284,0.003994774,0.0038222517,0.010529548
0,0.0064083077,0.003226285,0.00541952,0.0020401524,0.0040699444,0.0047558406,0.00278583,0.0069883782,0.013670132,0.0037152274,0.00782772,0.033234753,0.017934328,0.0034603684,0.005314506,0.002672007,0.0024594783,0.0050879624,0.0045711296,0.052532777,0.002033933,0.0029920992,0.006540768,0.0050495425,0.006252111,0.0029338342,0.009622858,0.0029310682,0.006250911,0.0022113316,0.010015192,0.0033596072,0.0049281684,0.032517616,0.006573376,0.0044362578,0.0035186552,0.002668836,0.0038407303,0.0026903574,0.02466556,0.0025903964,0.0060808933,0.0074079456,0.021473756,0.0038825674,0.0056934333,0.0019388333,0.0046773786,0.0038804677,0.005004276,0.0019814314,0.004787225,0.0035805472,0.08042243,0.0022097477,0.0024958753,0.0076470575,0.01122266,0.0047182976,0.0028594884,0.01122103,0.003352462,0.0043738834,0.0033252,0.027599594,0.0205351,0.005758291,0.0061726472,0.005468543
0,0.0066839675,0.004219389,0.0020999608,0.0063189827,0.0020684355,0.0020100859,0.00083792466,0.0062099495,0.0061206976,0.001849063,0.009839287,0.0030988732,0.0025941345,0.003426551,0.0045398367,0.0045272023,0.0064563313,0.011721831,0.0074151894,0.012785776,0.0041039945,0.002687653,0.0024829097,0.0012767549,0.019081097,0.00308399,0.0028178173,0.007314751,0.012432253,0.0038640995,0.005034687,0.003651954,0.013646935,0.0043008374,0.0031502906,0.0048594163,0.0017872056,0.002336885,0.0028166987,0.00397759,0.017413858,0.004252226,0.006469681,0.0010942734,0.003558028,0.017936528,0.0013119457,0.0035274872,0.009984644,0.0029911816,0.0034215753,0.0026121829,0.003126269,0.03451755,0.0050264937,0.0060419557,0.000871945,0.01148632,0.008991018,0.0027680828,0.008774915,0.0055853548,0.0041763023,0.02003716,0.014348713,0.012028883,0.010938706,0.010484965,0.00084957626,0.0072884597
0,0.0019826982,0.0060158833,0.0014366378,0.0011012711,0.009532524,0.0069702747,0.006965128,0.002465364,0.010786495,0.007901189,0.0019412485,0.0063998057,0.0017078015,0.00594581,0.0047798315,0.014234551,0.014022331,0.013631193,0.0037734606,0.00465665,0.0023946327,0.012887991,0.0021264227,0.017925268,0.005639405,0.0054987343,0.003577046,0.02022082,0.005459189,0.0014415146,0.010650024,0.0014572206,0.0025551016,0.00532301,0.034981724,0.0030711286,0.0052169473,0.006847967,0.006637949,0.016486568,0.003517171,0.05304804,0.0025908744,0.0049795425,0.013239893,0.002879899,0.0013043135,0.0033060657,0.0032477167,0.13569896,0.0018443054,0.010248288,0.0031895542,0.0016663579,0.004164816,0.0088007,0.011859808,0.0025080696,0.008646667,0.008122157,0.0014602009,0.002872998,0.01795642,0.0035893961,0.014525816,0.03541017,0.010651044,0.0028906127,0.005343575,0.0021135088
0,0.03667306,0.03658103,0.03605515,0.03658637,0.036106944,0.036867484,0.036835827,0.03662825,0.036747154,0.03680277,0.036387447,0.036777064,0.03645775,0.036945987,0.036822006,0.0361429,0.036840286,0.03669379,0.03650552,0.03696422,0.036652304,0.03704515,0.036481135,0.03649883,0.03647406,0.0372141,0.036074243,0.03633937,0.036259018,0.03679631,0.03647872,0.03733346,0.036657717,0.036643695,0.036711935,0.03642356,0.036174238,0.036675885,0.03649104,0.03684247,0.03645247,0.036837544,0.03667596,0.03698343,0.036934823,0.036893766,0.036822855,0.03677651,0.036552954,0.03711915,0.03680205,0.036438752,0.036722552,0.036997,0.036801793,0.036665108,0.03634401,0.036285046,0.036663562,0.036247496,0.036143955,0.036672823,0.03656998,0.03668147,0.037041217,0.036860578,0.03762013,0.036932066,0.036945805,0.036113262
0,0.015106624,0.012734321,0.014277496,0.01695404,0.014175777,0.01192871,0.008581935,0.012434179,0.01629047,0.019954616,0.0109227905,0.017015997,0.017306395,0.0095660435,0.015815273,0.012288291,0.017367508,0.011367478,0.016214961,0.013473877,0.013277754,0.018144948,0.017709794,0.019954352,0.017023737,0.012851957,0.012772794,0.013883291,0.018939788,0.011033934,0.01578493,0.01709207,0.008927101,0.013739651,0.008982333,0.015102822,0.015591462,0.011214017,0.016838307,0.007820857,0.012275535,0.015278435,0.017266031,0.01784471,0.018812897,0.010378956,0.014453618,0.017372066,0.018489275,0.011373885,0.017692184,0.013073412,0.0129820695,0.013529094,0.019370988,0.012755728,0.014623012,0.010302547,0.014844976,0.016028734,0.018574124,0.012555332,0.011928227,0.01131849,0.013267038,0.019539416,0.01656627,0.017213445,0.017260524,0.01754816
0,0.014417074,0.016478272,0.008238396,0.0050796056,0.011599123,0.019606743,0.024420314,0.020652536,0.018658603,0.019960627,0.012907138,0.014087953,0.0055594756,0.0160275,0.0098500885,0.020549707,0.019830666,0.016888103,0.00849121,0.024507783,0.009999848,0.008771863,0.002647851,0.02417904,0.015311236,0.014982631,0.0089665875,0.017238908,0.0046674567,0.01417915,0.0071031707,0.014650598,0.0156111615,0.012081265,0.009347894,0.0108288275,0.019222489,0.009074573,0.0042592417,0.004945761,0.020156886,0.012855322,0.013915106,0.0200735,0.0022757894,0.020125862,0.0038743727,0.015604114,0.0099100955,0.018508097,0.006328331,0.0032928712,0.009901939,0.011504406,0.023638764,0.012221372,0.018284395,0.017910793,0.0058924817,0.014793279,0.014691853,0.009724098,0.017319838,0.013413391,0.023746366,0.005569339,0.017832436,0.019368479,0.0030923795,0.016586527
0,0.0019215645,0.0017997768,0.0031819406,0.006194334,0.0020009114,0.0038398346,0.0013030055,0.006633134,0.004088856,0.018802913,0.0058557624,0.009148989,0.0025736257,0.005512096,0.0061165863,0.0014011367,0.0077890074,0.004911876,0.0154822515,0.014482406,0.03661937,0.004131356,0.008725569,0.005514107,0.003799959,0.0023136332,0.020202415,0.0023329174,0.0067302496,0.045204896,0.009869893,0.00942929,0.019258643,0.004898088,0.0058746715,0.0015280043,0.006529285,0.0022518267,0.0017747434,0.0034713189,0.028329743,0.002294809,0.009546721,0.014039151,0.050549652,0.0024274485,0.005620023,0.001666676,0.04869605,0.0036317843,0.0026002615,0.0034632734,0.13875315,0.0039769663,0.002091586,0.0018081409,0.013202963,0.025910128,0.002939324,0.012063544,0.0032962817,0.0017846589,0.0023228894,0.05259898,0.014097055,0.049935978,0.04303081,0.00997623,0.004457596,0.013202163
0,0.010283646,0.0016540908,0.006896329,0.0023369608,0.0042571654,0.0047932537,0.00130716,0.002747208,0.0011026363,0.008397502,0.008719451,0.0030819788,0.006430829,0.0016299526,0.0022790898,0.0029836611,0.0015719113,0.0043017115,0.01648874,0.006481876,0.008032029,0.011543047,0.003685863,0.0030493625,0.0036725367,0.012308168,0.0032526352,0.0053763757,0.012025652,0.0033983963,0.0026982836,0.0067679877,0.0018172511,0.005653439,0.0043062684,0.004924996,0.0024028246,0.026027678,0.0075349575,0.002145457,0.004655373,0.035680808,0.0023890121,0.004482259,0.0032061785,0.0066810627,0.024145035,0.0027005186,0.0034888247,0.0026400879,0.0027561567,0.0018603783,0.0746192,0.0018200072,0.004591941,0.0039087813,0.0013599504,0.0017484016,0.013065915,0.0022595741,0.004338687,0.004509801,0.002507738,0.017587591,0.002687254,0.0025797114,0.014438559,0.013497349,0.0046872427,0.0018199864
0,0.0049441135,0.011710799,0.0045378585,0.007760491,0.004362678,0.006005241,0.0105681345,0.012284922,0.0035396835,0.01813404,0.004130371,0.015103445,0.011109832,0.0019063135,0.0066774213,0.007623104,0.013196071,0.06472335,0.0015590043,0.0051509878,0.020882051,0.012348772,0.0053440034,0.007504654,0.056308568,0.0012378207,0.0117417285,0.01284158,0.007693626,0.020007472,0.0017578186,0.005082966,0.0048083877,0.006613128,0.02243994,0.03796089,0.019526321,0.014151795,0.0149822105,0.0033705218,0.027965272,0.006518373,0.005685589,0.0015670628,0.0032460717,0.016842252,0.015611555,0.013555153,0.00692785,0.002220258,0.004519095,0.0033665102,0.007681564,0.06741595,0.0014250198,0.010458175,0.0017223827,0.00823412,0.006673693,0.021945722,0.0063583,0.0046690633,0.029614864,0.0021158585,0.014773042,0.0023910303,0.010638836,0.010375616,0.0013906029,0.01631093
