,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,0.007968283,0.005424262,0.016272927,0.0032443209,0.015235058,0.009677832,0.0054529635,0.005509935,0.0038161925,0.003412208,0.0051617925,0.0017327212,0.0046748086,0.008872969,0.006441398,0.005873819,0.0027429147,0.004482982,0.030670492,0.011081923,0.015235632,0.037938677,0.007908365,0.027687531,0.0039876164,0.007780503,0.004327319,0.0049934397,0.004740882,0.050550178,0.0036664074,0.004242494,0.00093362946,0.004559545,0.00475277,0.016787693,0.0044947127,0.005822007,0.02123458,0.012559247,0.0073738345,0.020826835,0.0055964785,0.0027042646
0,0.029105838,0.028974269,0.029085686,0.028776554,0.028365713,0.028345006,0.028208684,0.028799105,0.025852079,0.028477684,0.028082497,0.0271011,0.027825646,0.02858918,0.028405525,0.028482182,0.026034713,0.02919804,0.029447947,0.028532479,0.026676837,0.025857182,0.026316984,0.026617281,0.025738224,0.02908611,0.029150108,0.027971981,0.028577827,0.02805052,0.02607749,0.028886907,0.028683884,0.027378438,0.026714273,0.028873788,0.025218952,0.025748486,0.026009442,0.028159317,0.029343227,0.029090716,0.02835483,0.029448824
0,0.007837859,0.0053321244,0.0042099487,0.00982684,0.0057438626,0.04363335,0.024968818,0.01987715,0.01051726,0.017771099,0.017698167,0.021335846,0.009581158,0.03121557,0.007854395,0.014931219,0.021123584,0.027289016,0.021750774,0.007553154,0.06413038,0.011848362,0.0062050987,0.014393101,0.0128940875,0.010680933,0.020607265,0.025536649,0.008649871,0.13996054,0.0077935564,0.017003018,0.33117518,0.007707198,0.011534096,0.027900457,0.007888215,0.008043034,0.011002098,0.082341366,0.0067297174,0.031700674,0.023357,0.012033909
0,0.0028425665,0.005906117,0.0032431567,0.0040529035,0.015459692,0.014522293,0.008025709,0.0061913673,0.0062850993,0.0057107843,0.006435236,0.0017971181,0.009658474,0.005799515,0.0063298005,0.0029443325,0.0035408007,0.044041954,0.019991288,0.0066522453,0.0048663663,0.0073189875,0.0111799175,0.012128714,0.00590378,0.0042919475,0.0446075,0.0056608696,0.0059599723,0.005908402,0.039247233,0.010862615,0.09321395,0.0046765436,0.016627286,0.0045915176,0.0036883398,0.003991552,0.0066701793,0.03788435,0.009945392,0.009801451,0.0054999497,0.0052236677
0,0.0072891493,0.011100992,0.026309654,0.011611445,0.03365895,0.0063949465,0.01727477,0.008004119,0.007551064,0.012447338,0.007314378,0.003837506,0.013477985,0.007922204,0.014722671,0.016443163,0.008357042,0.0040901047,0.004753354,0.00385813,0.102015704,0.0035203744,0.019103063,0.040399622,0.06167782,0.0053464677,0.0029370987,0.0043647955,0.014014139,0.004776795,0.016115276,0.029389193,0.0028459786,0.09491519,0.025996739,0.025940113,0.018391725,0.00445166,0.0064974665,0.007937713,0.03531342,0.029236984,0.018019024,0.00855492
0,0.003891036,0.005871773,0.009758961,0.030608952,0.014331406,0.013993122,0.018305952,0.01742663,0.012377756,0.0069668763,0.0020956425,0.013853032,0.011507839,0.0035132072,0.0044820504,0.007439952,0.012919549,0.011848061,0.006131312,0.007598908,0.0063907458,0.0100139305,0.0038913519,0.020448491,0.0193784,0.010852619,0.01088027,0.006193046,0.076639906,0.005329937,0.0061161486,0.011490929,0.15465073,0.005439267,0.0050926786,0.009725485,0.004709749,0.006625161,0.008166068,0.04781193,0.0233405,0.019743422,0.012866478,0.008295022
0,0.0052710306,0.005737219,0.0105216475,0.0033829873,0.0061357073,0.012688481,0.0096585555,0.006178776,0.0031812992,0.006263438,0.001927795,0.004013481,0.0060716867,0.006955672,0.0065662027,0.0031838529,0.017266914,0.006886679,0.004404531,0.022306565,0.006471787,0.029175559,0.004325622,0.0040397905,0.0020666155,0.003941142,0.004369338,0.00995448,0.0048803915,0.04639429,0.0035559472,0.007871551,0.0040912274,0.0048206546,0.005851492,0.0029859703,0.010659417,0.0047427868,0.0069257664,0.018922811,0.01906796,0.008909694,0.0073393593,0.005763164
0,0.0046009053,0.0064890133,0.0057663857,0.0019524158,0.01795472,0.0077268467,0.019588208,0.008120902,0.006246913,0.0069796313,0.0021101055,0.010294527,0.009193608,0.0028286828,0.0036571175,0.006685196,0.009050314,0.005136918,0.008329336,0.004773611,0.0030214782,0.027600408,0.0038476961,0.00961036,0.015821287,0.004750238,0.00483761,0.03957898,0.0045673493,0.004874622,0.006933232,0.0051505016,0.057111222,0.00512752,0.004768918,0.007585748,0.00451154,0.006827934,0.027672734,0.029726388,0.014464394,0.01006748,0.0041562086,0.0061595826
0,0.010011699,0.0015255475,0.0022398331,0.009330221,0.010251892,0.0048843855,0.012449623,0.024582146,0.007371071,0.007527014,0.0035772317,0.0035473781,0.0063229664,0.0061594336,0.006240644,0.007835626,0.004632241,0.007791514,0.021891221,0.002926747,0.0040416056,0.011382676,0.020623604,0.016165039,0.0075055826,0.07803994,0.0035489325,0.011938538,0.008536381,0.16783974,0.004143488,0.010735394,0.0015001862,0.007437273,0.011333516,0.0032785656,0.0046388176,0.004363886,0.046693686,0.016961236,0.01664035,0.0024968905,0.0076319617,0.0060776835
0,0.0073258085,0.0060870955,0.0028452058,0.013057641,0.021806313,0.024369357,0.014774208,0.0052959104,0.0046798964,0.004927862,0.0065488657,0.012171099,0.0075508165,0.020068642,0.011593978,0.0029593485,0.008237719,0.002945895,0.0022556537,0.005009966,0.050888732,0.008957523,0.0028216143,0.01821995,0.06667076,0.0029997702,0.0035006893,0.010654375,0.0046431217,0.13106234,0.016213212,0.0069875284,0.016387537,0.002885281,0.02353272,0.0024221519,0.003361097,0.0039029783,0.039454274,0.019990647,0.01061006,0.005216398,0.0045717414,0.008589253
0,0.0033820483,0.006062321,0.0035549894,0.006943927,0.005357098,0.022013985,0.029032484,0.012328602,0.0022120872,0.005650025,0.0044407374,0.003109836,0.005720689,0.0031236026,0.012572269,0.015746316,0.007885345,0.0025215347,0.003034387,0.047582146,0.0049095363,0.014997036,0.0060431072,0.017396675,0.017223815,0.0046257623,0.02911659,0.003916235,0.007320571,0.0074029616,0.0035468102,0.04825719,0.0025439372,0.0019192374,0.0038228943,0.0035645035,0.004734641,0.0040295203,0.017471954,0.058439214,0.012361702,0.010280288,0.004483257,0.0073740724
